Date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount,Page
2026-08-19,1,2026081905009578,BBC,45,34,10,4099.0,40990.0,1
2026-08-19,2,2026081905009948,BBC,49,34,10,4140.0,41400.0,1
2026-08-19,3,2026081905009931,BBC,1,26,10,4100.0,41000.0,1
2026-08-19,4,2026081905010060,BEDC,72,53,10,311.9,3119.0,1
2026-08-19,5,2026081905010034,BEDC,16,90,100,310.0,31000.0,1
2026-08-19,6,2026081905009614,BEDC,58,29,25,309.0,7725.0,1
2026-08-19,7,2026081905009792,BEDC,16,1,50,310.0,15500.0,1
2026-08-19,8,2026081905009962,BGWT,38,45,100,515.0,51500.0,1
2026-08-19,9,2026081905009891,BHL,42,33,101,209.0,21109.0,1
2026-08-19,10,2026081905009678,BHL,42,5,1100,209.0,229900.0,1
2026-08-19,11,2026081905009677,BHL,42,14,600,209.0,125400.0,1
2026-08-19,12,2026081905009676,BHL,42,58,10,209.0,2090.0,1
2026-08-19,13,2026081905009675,BHL,42,34,20,209.0,4180.0,1
2026-08-19,14,2026081905009581,BHL,39,34,80,209.0,16720.0,1
2026-08-19,15,2026081905009580,BHL,39,49,20,209.0,4180.0,1
2026-08-19,16,2026081905009927,BHPL,34,42,10,477.4,4774.0,1
2026-08-19,17,2026081905009823,BHPL,50,32,50,472.0,23600.0,1
2026-08-19,18,2026081905009801,BHPL,32,32,60,472.0,28320.0,1
2026-08-19,19,2026081905009933,BNHC,38,36,100,280.0,28000.0,1
2026-08-19,20,2026081905009693,BNHC,49,43,224,279.0,62496.0,1
2026-08-19,21,2026081905009624,BNHC,42,43,16,279.9,4478.4,1
2026-08-19,22,2026081905010058,CHDC,26,45,112,2182.0,244384.0,1
2026-08-19,23,2026081905010057,CHDC,37,45,38,2182.0,82916.0,1
2026-08-19,24,2026081905010056,CHDC,34,45,50,2182.2,109110.0,1
2026-08-19,25,2026081905010071,CIT,39,6,10,1700.0,17000.0,1
2026-08-19,26,2026081905009894,CIT,52,45,100,1695.0,169500.0,1
2026-08-19,27,2026081905009780,CIT,52,5,20,1695.0,33900.0,1
2026-08-19,28,2026081905009779,CIT,32,5,25,1695.0,42375.0,1
2026-08-19,29,2026081905009778,CIT,17,5,20,1695.0,33900.0,1
