Date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount,Page
2026-07-24,1,2026072405013241,AHL,6,35,161,428.0,68908.0,1
2026-07-24,2,2026072405013240,AHL,45,35,15,428.0,6420.0,1
2026-07-24,3,2026072405013239,AHL,38,35,10,428.0,4280.0,1
2026-07-24,4,2026072405013238,AHL,6,35,500,428.0,214000.0,1
2026-07-24,5,2026072405013237,AHL,39,35,11,428.2,4710.2,1
2026-07-24,6,2026072405013236,AHL,66,35,203,428.4,86965.2,1
2026-07-24,7,2026072405013235,AHL,32,35,30,428.5,12855.0,1
2026-07-24,8,2026072405013234,AHL,57,35,70,428.9,30023.0,1
2026-07-24,9,2026072405012961,AHL,19,49,46,429.0,19734.0,1
2026-07-24,10,2026072405013000,BEDC,42,29,10,331.5,3315.0,1
2026-07-24,11,2026072405013006,BEDC,17,29,300,330.0,99000.0,1
2026-07-24,12,2026072405013005,BEDC,97,29,200,330.0,66000.0,1
2026-07-24,13,2026072405013004,BEDC,48,29,600,330.1,198060.0,1
2026-07-24,14,2026072405013003,BEDC,58,29,350,330.1,115535.0,1
2026-07-24,15,2026072405013002,BEDC,45,29,300,330.3,99090.0,1
2026-07-24,16,2026072405013001,BEDC,13,29,300,331.0,99300.0,1
2026-07-24,17,2026072405013012,BEDC,64,29,500,327.0,163500.0,1
2026-07-24,18,2026072405013011,BEDC,34,29,500,327.9,163950.0,1
2026-07-24,19,2026072405013010,BEDC,4,29,200,328.5,65700.0,1
2026-07-24,20,2026072405013009,BEDC,39,29,70,329.0,23030.0,1
2026-07-24,21,2026072405013008,BEDC,54,29,200,330.0,66000.0,1
2026-07-24,22,2026072405013007,BEDC,38,29,50,330.0,16500.0,1
2026-07-24,23,2026072405013129,BEDC,41,7,10,334.0,3340.0,1
2026-07-24,24,2026072405013013,BEDC,1,29,420,327.0,137340.0,1
2026-07-24,25,2026072405012893,BGWT,62,41,100,600.1,60010.0,1
2026-07-24,26,2026072405013099,BHDC,36,63,120,445.2,53424.0,1
2026-07-24,27,2026072405013015,BHDC,36,34,295,445.2,131334.0,1
2026-07-24,28,2026072405013166,BHL,4,58,30,217.0,6510.0,1
2026-07-24,29,2026072405013156,BHL,48,58,10,217.0,2170.0,1
2026-07-24,30,2026072405013096,BHL,7,48,1360,216.2,294032.0,1
2026-07-24,31,2026072405013095,BHL,13,48,100,216.3,21630.0,1
2026-07-24,32,2026072405013094,BHL,7,48,540,216.3,116802.0,1
2026-07-24,33,2026072405013077,BHL,7,33,460,216.3,99498.0,1
2026-07-24,34,2026072405013018,BHL,7,11,1000,216.3,216300.0,1
2026-07-24,35,2026072405012909,BHL,58,58,10,217.0,2170.0,1
2026-07-24,36,2026072405012907,BHL,7,57,125,216.2,27025.0,1
2026-07-24,37,2026072405012883,BHL,48,58,10,217.0,2170.0,1
2026-07-24,38,2026072405013244,BHPL,51,6,150,486.6,72990.0,1
2026-07-24,39,2026072405013243,BHPL,58,6,50,487.0,24350.0,1
2026-07-24,40,2026072405013100,BHPL,58,49,50,487.0,24350.0,1
2026-07-24,41,2026072405013340,BNHC,45,75,72,297.0,21384.0,1
2026-07-24,42,2026072405013339,BNHC,45,47,100,296.9,29690.0,1
2026-07-24,43,2026072405013338,BNHC,45,4,20,296.5,5930.0,1
2026-07-24,44,2026072405013337,BNHC,45,58,10,296.5,2965.0,1
2026-07-24,45,2026072405013336,BNHC,45,33,50,296.0,14800.0,1
2026-07-24,46,2026072405013335,BNHC,45,58,10,296.0,2960.0,1
