Date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount,Page
2026-08-14,1,2026081405009111,AHL,44,13,50,420.5,21025.0,1
2026-08-14,2,2026081405009050,AHL,56,57,90,420.8,37872.0,1
2026-08-14,3,2026081405009049,AHL,56,58,10,420.7,4207.0,1
2026-08-14,4,2026081405008794,AHL,45,58,10,420.0,4200.0,1
2026-08-14,5,2026081405009073,BEDC,16,4,410,319.4,130954.0,1
2026-08-14,6,2026081405008806,BEDC,57,35,10,319.3,3193.0,1
2026-08-14,7,2026081405008805,BEDC,57,90,200,319.0,63800.0,1
2026-08-14,8,2026081405008804,BEDC,57,47,30,319.0,9570.0,1
2026-08-14,9,2026081405008808,BEDC,57,4,90,319.4,28746.0,1
2026-08-14,10,2026081405008807,BEDC,57,83,30,319.4,9582.0,1
2026-08-14,11,2026081405009150,BGWT,45,47,100,514.1,51410.0,1
2026-08-14,12,2026081405009149,BGWT,47,47,20,515.0,10300.0,1
2026-08-14,13,2026081405009148,BGWT,34,47,1000,520.0,520000.0,1
2026-08-14,14,2026081405009147,BGWT,77,47,21,520.0,10920.0,1
2026-08-14,15,2026081405009146,BGWT,49,47,50,520.0,26000.0,1
2026-08-14,16,2026081405008738,BGWT,22,57,70,525.0,36750.0,1
2026-08-14,17,2026081405009139,BGWT,22,47,64,525.0,33600.0,1
2026-08-14,18,2026081405009138,BGWT,41,47,13,530.0,6890.0,1
2026-08-14,19,2026081405009137,BGWT,34,74,10,533.0,5330.0,1
2026-08-14,20,2026081405009037,BGWT,41,58,17,530.0,9010.0,1
2026-08-14,21,2026081405009145,BGWT,45,47,50,520.0,26000.0,1
2026-08-14,22,2026081405009144,BGWT,49,47,100,520.0,52000.0,1
2026-08-14,23,2026081405009143,BGWT,49,47,100,520.0,52000.0,1
2026-08-14,24,2026081405009142,BGWT,38,47,25,520.0,13000.0,1
2026-08-14,25,2026081405009141,BGWT,43,47,100,520.2,52020.0,1
2026-08-14,26,2026081405009140,BGWT,38,47,10,525.0,5250.0,1
2026-08-14,27,2026081405008908,BHDC,1,16,10,428.0,4280.0,1
2026-08-14,28,2026081405008874,BHDC,41,58,11,428.0,4708.0,1
2026-08-14,29,2026081405008994,BHL,62,7,10,211.0,2110.0,1
2026-08-14,30,2026081405008912,BHL,57,42,200,211.2,42240.0,1
2026-08-14,31,2026081405008911,BHL,26,42,860,211.2,181632.0,1
2026-08-14,32,2026081405008910,BHL,19,42,52,211.6,11003.2,1
2026-08-14,33,2026081405008883,BHPL,34,50,10,489.9,4899.0,1
2026-08-14,34,2026081405008831,BHPL,34,22,20,489.7,9794.0,1
2026-08-14,35,2026081405008830,BHPL,34,14,100,488.0,48800.0,1
2026-08-14,36,2026081405008829,BHPL,34,95,90,488.0,43920.0,1
2026-08-14,37,2026081405008828,BHPL,34,33,120,487.5,58500.0,1
2026-08-14,38,2026081405008827,BHPL,34,59,120,486.9,58428.0,1
2026-08-14,39,2026081405008826,BHPL,34,1,260,486.5,126490.0,1
2026-08-14,40,2026081405008825,BHPL,34,1,190,486.0,92340.0,1
2026-08-14,41,2026081405008716,BHPL,34,1,10,486.0,4860.0,1
2026-08-14,42,2026081405009165,BNHC,94,32,40,282.9,11316.0,1
2026-08-14,43,2026081405009164,BNHC,94,32,10,282.0,2820.0,1
2026-08-14,44,2026081405008863,BNHC,42,45,165,280.0,46200.0,1
2026-08-14,45,2026081405008862,BNHC,92,45,200,280.0,56000.0,1
2026-08-14,46,2026081405008861,BNHC,7,45,50,280.0,14000.0,1
2026-08-14,47,2026081405008860,BNHC,77,45,137,281.0,38497.0,1
2026-08-14,48,2026081405008752,BNHC,47,81,100,282.0,28200.0,1
2026-08-14,49,2026081405008859,BNHC,34,45,508,281.0,142748.0,1
2026-08-14,50,2026081405008858,BNHC,58,45,10,281.0,2810.0,1
2026-08-14,51,2026081405008857,BNHC,42,45,180,281.0,50580.0,1
2026-08-14,52,2026081405008856,BNHC,16,45,15,281.1,4216.5,1
2026-08-14,53,2026081405008855,BNHC,57,45,100,281.1,28110.0,1
2026-08-14,54,2026081405008854,BNHC,47,45,20,282.0,5640.0,1
2026-08-14,55,2026081405009105,CHDC,86,58,26,2228.0,57928.0,1
2026-08-14,56,2026081405009104,CHDC,86,59,10,2227.0,22270.0,1
2026-08-14,57,2026081405009103,CHDC,86,1,64,2227.0,142528.0,1
2026-08-14,58,2026081405009100,CHDC,60,58,10,2226.0,22260.0,1
2026-08-14,59,2026081405009047,CHDC,10,58,10,2226.0,22260.0,1
2026-08-14,60,2026081405008979,CHDC,62,42,25,2225.0,55625.0,1
2026-08-14,61,2026081405008897,CHDC,6,40,20,2224.0,44480.0,1
2026-08-14,62,2026081405008864,CHDC,86,42,50,2225.0,111250.0,1
2026-08-14,63,2026081405008841,CHDC,6,58,20,2224.0,44480.0,1
