Date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount,Page
2026-08-25,1,2026082505011360,AHL,42,34,10,398.0,3980.0,1
2026-08-25,2,2026082505011111,AHL,26,34,480,398.0,191040.0,1
2026-08-25,3,2026082505011110,AHL,26,58,60,397.0,23820.0,1
2026-08-25,4,2026082505011109,AHL,26,38,90,397.0,35730.0,1
2026-08-25,5,2026082505011072,AHL,4,13,30,390.0,11700.0,1
2026-08-25,6,2026082505011071,AHL,40,13,70,390.0,27300.0,1
2026-08-25,7,2026082505011035,AHL,42,34,10,395.0,3950.0,1
2026-08-25,8,2026082505011371,BBC,101,13,10,4052.0,40520.0,1
2026-08-25,9,2026082505011283,BBC,47,17,10,4090.0,40900.0,1
2026-08-25,10,2026082505011076,BEDC,42,45,419,298.0,124862.0,1
2026-08-25,11,2026082505011075,BEDC,54,45,10,298.1,2981.0,1
2026-08-25,12,2026082505011025,BEDC,42,45,102,298.0,30396.0,1
2026-08-25,13,2026082505010992,BEDC,49,45,30,298.0,8940.0,1
2026-08-25,14,2026082505010991,BEDC,59,45,258,298.0,76884.0,1
2026-08-25,15,2026082505010926,BEDC,58,45,50,299.0,14950.0,1
2026-08-25,16,2026082505011108,BHDC,58,41,10,428.0,4280.0,1
2026-08-25,17,2026082505011007,BHDC,1,94,10,428.0,4280.0,1
2026-08-25,18,2026082505011006,BHDC,85,26,40,425.5,17020.0,1
2026-08-25,19,2026082505011336,BHL,25,50,756,204.0,154224.0,1
2026-08-25,20,2026082505011335,BHL,25,59,30,204.0,6120.0,1
2026-08-25,21,2026082505011334,BHL,25,49,100,204.0,20400.0,1
2026-08-25,22,2026082505011333,BHL,25,7,90,203.6,18324.0,1
2026-08-25,23,2026082505011288,BHL,35,1,15,203.0,3045.0,1
2026-08-25,24,2026082505011213,BHL,58,1,100,203.0,20300.0,1
2026-08-25,25,2026082505011128,BHL,4,1,100,203.0,20300.0,1
2026-08-25,26,2026082505011086,BHL,35,7,10,203.6,2036.0,1
2026-08-25,27,2026082505010995,BHL,4,45,900,203.0,182700.0,1
2026-08-25,28,2026082505010994,BHL,42,45,100,203.0,20300.0,1
2026-08-25,29,2026082505010956,BHL,42,11,700,203.0,142100.0,1
2026-08-25,30,2026082505010925,BHL,17,11,100,203.0,20300.0,1
2026-08-25,31,2026082505011153,BHL,49,1,420,203.0,85260.0,1
2026-08-25,32,2026082505011133,BHL,32,1,15,203.0,3045.0,1
2026-08-25,33,2026082505011132,BHL,58,1,90,203.0,18270.0,1
2026-08-25,34,2026082505011131,BHL,45,1,100,203.0,20300.0,1
2026-08-25,35,2026082505011130,BHL,43,1,50,203.0,10150.0,1
2026-08-25,36,2026082505011129,BHL,58,1,60,203.0,12180.0,1
2026-08-25,37,2026082505011152,BHPL,34,64,17,476.0,8092.0,1
2026-08-25,38,2026082505011151,BHPL,34,10,10,476.0,4760.0,1
2026-08-25,39,2026082505011150,BHPL,34,38,10,470.0,4700.0,1
2026-08-25,40,2026082505011149,BHPL,34,59,340,470.0,159800.0,1
