Date,#,Symbol,Conf.,Open,High,Low,Close,LTP,VWAP,Qty.,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2026-08-19,1,ACLBSL,-,898.0,921.6,894.4,900.0,900.0,897.53,842,901.2,755718.8,16,-1.2,27.2,-0.13,3.04,0.27,960.59,962.05,1157.0,827.9
2026-08-19,2,ADBL,-,302.0,302.0,299.5,300.9,300.9,300.63,25174,300.0,7568127.2,113,0.9,2.5,0.3,0.83,0.09,311.74,307.94,340.0,285.2
2026-08-19,3,ADBLD83,-,1041.0,1041.0,1039.0,1039.0,1039.0,1040.0,100,1030.0,104000.0,2,9.0,2.0,0.87,0.19,-0.1,1076.56,1085.28,1132.9,1015.0
2026-08-19,4,AHL,-,387.6,405.1,387.6,400.0,400.0,400.61,2678,408.0,1072827.7,41,-8.0,17.5,-1.96,4.51,-0.15,482.66,513.83,699.0,387.6
2026-08-19,5,AHPC,-,258.2,263.0,257.7,260.0,260.0,259.14,58501,260.0,15159948.3,283,0.0,5.3,0.0,2.06,0.33,279.18,277.74,323.3,250.1
2026-08-19,6,AKJCL,-,350.0,357.9,348.3,351.8,351.8,352.37,161396,349.1,56870705.6,466,2.7,9.6,0.77,2.76,-0.16,377.98,329.95,461.4,172.9
2026-08-19,7,AKPL,-,246.0,251.0,246.0,249.0,249.0,249.13,30765,249.0,7664459.6,154,0.0,5.0,0.0,2.03,-0.05,268.66,263.23,317.0,227.5
2026-08-19,8,ALBSL,-,1065.0,1115.0,1065.0,1099.8,1099.8,1097.42,9558,1101.9,10489179.1,98,-2.1,50.0,-0.19,4.69,0.22,1119.86,1126.58,1334.0,930.0
2026-08-19,9,ALICL,-,419.9,419.9,415.0,415.0,415.0,416.46,12451,415.0,5185384.5,77,0.0,4.9,0.0,1.18,-0.35,449.14,456.0,507.0,413.4
2026-08-19,10,ANLB,-,5100.0,5237.0,5060.0,5100.0,5100.0,5089.86,1800,5225.0,9161746.5,95,-125.0,177.0,-2.39,3.5,0.2,6118.5,6126.21,7560.0,5060.0
2026-08-19,11,APHL,-,750.4,755.0,734.0,753.0,753.0,746.6,6427,750.4,4798423.4,217,2.6,21.0,0.35,2.86,0.85,0.0,0.0,1053.4,299.7
2026-08-19,12,API,-,329.0,331.5,327.4,330.0,330.0,328.83,112132,330.0,36871889.5,413,0.0,4.1,0.0,1.25,0.36,339.48,323.42,370.0,258.8
2026-08-19,13,AVYAN,-,1016.0,1039.0,1016.0,1035.0,1035.0,1031.43,383,1023.5,395039.2,20,11.5,23.0,1.12,2.26,0.34,1089.95,1047.23,1366.0,906.0
2026-08-19,14,BANDIPUR,-,686.0,689.0,675.0,682.1,682.1,683.08,14248,686.0,9732488.8,234,-3.9,14.0,-0.57,2.07,-0.14,818.89,830.19,1233.0,285.0
2026-08-19,15,BARUN,-,323.9,323.9,313.0,316.8,316.8,316.34,16923,317.0,5353450.3,103,-0.2,10.9,-0.06,3.48,0.14,342.35,341.23,401.5,292.1
2026-08-19,16,BBC,-,4103.0,4177.0,4099.0,4140.0,4140.0,4130.77,79,4108.0,326331.0,8,32.0,78.0,0.78,1.9,0.22,4570.6,4670.44,5600.0,3825.0
2026-08-19,17,BEDC,-,329.0,329.0,308.0,311.9,311.9,312.16,9325,313.5,2910918.6,84,-1.6,21.0,-0.51,6.82,-0.08,392.83,443.19,774.9,303.1
2026-08-19,18,BFC,-,485.0,489.0,476.2,476.2,476.2,480.74,22678,485.0,10902146.2,117,-8.8,12.8,-1.81,2.69,-0.95,487.96,483.0,562.0,411.5
2026-08-19,19,BGWT,-,503.0,517.9,503.0,515.0,515.0,510.13,2590,500.0,1321248.3,33,15.0,14.9,3.0,2.96,0.94,662.55,699.33,944.0,500.0
2026-08-19,20,BHCL,-,560.0,595.0,546.0,568.0,568.0,561.41,122319,552.0,68670781.7,772,16.0,49.0,2.9,8.97,1.16,543.69,541.41,699.0,292.1
2026-08-19,21,BHDC,-,425.0,428.2,421.7,426.7,426.7,424.09,16062,424.2,6811809.4,85,2.5,6.5,0.59,1.54,0.61,459.0,466.99,616.0,412.0
2026-08-19,22,BHL,-,208.0,209.9,206.4,209.0,209.0,208.28,36974,207.6,7701123.6,188,1.4,3.5,0.67,1.7,0.34,218.67,207.86,264.4,164.0
2026-08-19,23,BHPL,-,456.0,479.4,456.0,477.4,477.4,473.8,7699,479.0,3647758.1,30,-1.6,23.4,-0.33,5.13,0.75,527.96,547.68,820.0,449.0
2026-08-19,24,BJHL,-,697.1,729.7,695.0,720.0,720.0,712.41,12715,714.0,9058259.5,172,6.0,34.7,0.84,4.99,1.05,0.0,0.0,1305.0,270.1
2026-08-19,25,BNHC,-,266.0,285.0,266.0,280.0,280.0,279.56,5917,280.0,1654140.5,56,0.0,19.0,0.0,7.14,0.16,324.76,372.86,613.8,261.3
2026-08-19,26,BNT,-,11880.0,11884.0,11605.0,11620.0,11620.0,11790.23,61,11600.0,719204.0,6,20.0,279.0,0.17,2.4,-1.46,11706.45,11723.56,12760.0,10660.0
2026-08-19,27,BPCL,-,640.0,643.6,635.1,641.0,641.0,637.55,4318,638.0,2752931.6,61,3.0,8.5,0.47,1.34,0.54,684.16,702.2,874.0,612.0
2026-08-19,28,BUNGAL,-,581.0,605.0,581.0,598.0,598.0,596.31,20116,594.9,11995290.0,210,3.1,24.0,0.52,4.13,0.28,641.43,641.6,895.0,302.4
2026-08-19,29,C30MF,-,10.0,10.0,10.0,10.0,10.0,10.0,800,10.0,8000.0,2,0.0,0.0,0.0,0.0,0.0,10.01,9.79,10.45,8.7
2026-08-19,30,CBBL,-,934.0,940.0,934.0,935.0,935.0,937.4,15799,936.0,14809949.6,121,-1.0,6.0,-0.11,0.64,-0.26,923.81,940.41,1124.0,882.0
2026-08-19,31,CCBD88,-,1190.0,1190.0,1190.0,1190.0,1190.0,1190.0,25,1190.0,29750.0,1,0.0,0.0,0.0,0.0,0.0,1216.11,1195.94,1326.0,1126.0
2026-08-19,32,CFCL,-,587.0,608.9,586.2,600.0,600.0,598.15,40716,595.0,24354474.5,200,5.0,22.7,0.84,3.87,0.31,575.37,552.9,699.0,445.1
2026-08-19,33,CGH,-,773.0,786.0,766.0,770.0,770.0,772.64,6679,773.0,5160495.5,52,-3.0,20.0,-0.39,2.61,-0.34,804.74,826.79,1104.0,748.0
2026-08-19,34,CHCL,-,480.0,480.0,475.0,479.0,479.0,478.73,7975,480.0,3817852.6,96,-1.0,5.0,-0.21,1.05,0.06,486.39,485.29,526.9,450.3
2026-08-19,35,CHDC,-,2179.3,2200.0,2179.3,2182.0,2182.0,2188.83,9140,2196.0,20005900.2,119,-14.0,20.7,-0.64,0.95,-0.31,2304.02,2311.59,2717.0,1967.0
2026-08-19,36,CHL,-,260.1,264.0,260.0,262.5,262.5,261.81,7682,262.9,2011231.1,65,-0.4,4.0,-0.15,1.54,0.26,284.3,279.4,332.5,223.4
2026-08-19,37,CIT,-,1705.0,1705.0,1695.0,1700.0,1700.0,1697.39,4292,1703.0,7285206.7,89,-3.0,10.0,-0.18,0.59,0.15,1756.05,1773.69,1973.0,1630.3
2026-08-19,38,CITY,-,361.0,363.0,357.2,359.9,359.9,360.15,50429,358.2,18162230.7,241,1.7,5.8,0.47,1.62,-0.07,423.21,447.67,649.0,327.8
2026-08-19,39,CKHL,-,582.0,595.0,582.0,595.0,595.0,585.83,130,599.0,76158.0,12,-4.0,13.0,-0.67,2.23,1.54,655.03,660.17,804.0,525.0
2026-08-19,40,CLI,-,438.0,438.0,433.0,435.0,435.0,434.32,11805,438.8,5127150.8,186,-3.8,5.0,-0.87,1.15,0.16,457.94,465.31,526.0,411.0
2026-08-19,41,CORBL,-,1027.0,1029.5,1010.0,1028.0,1028.0,1021.74,15214,1019.6,15544792.0,252,8.4,19.5,0.82,1.93,0.61,1756.79,1733.38,3183.0,965.0
2026-08-19,42,CREST,-,1155.0,1160.0,1139.9,1152.9,1152.9,1145.07,7972,1159.9,9128460.2,110,-7.0,20.1,-0.6,1.76,0.68,1247.71,1268.92,1588.0,985.2
