Date,#,Symbol,Conf.,Open,High,Low,Close,LTP,VWAP,Qty.,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2026-08-24,1,ACLBSL,-,911.0,911.0,895.0,909.0,909.0,896.28,500,911.0,448138.8,14,-2.0,16.0,-0.22,1.79,1.4,958.41,960.8,1157.0,827.9
2026-08-24,2,ADBL,-,301.0,302.0,298.2,299.5,299.5,299.56,22197,301.0,6649424.1,141,-1.5,3.8,-0.5,1.27,-0.02,311.92,307.71,340.0,285.2
2026-08-24,3,AHL,-,395.0,397.9,387.0,397.9,397.9,389.75,3338,396.0,1301002.0,46,1.9,10.9,0.48,2.82,2.05,479.88,510.41,699.0,387.0
2026-08-24,4,AHPC,-,260.0,261.9,259.0,259.7,259.7,260.02,43548,260.9,11323554.4,181,-1.2,2.9,-0.46,1.12,-0.13,278.92,277.41,323.3,250.1
2026-08-24,5,AKJCL,-,348.0,352.9,345.0,346.0,346.0,348.29,156596,348.9,54541387.0,393,-2.9,7.9,-0.83,2.29,-0.66,377.97,332.66,461.4,172.9
2026-08-24,6,AKPL,-,249.0,249.0,245.3,247.0,247.0,247.05,42314,249.0,10453606.5,166,-2.0,3.7,-0.8,1.51,-0.02,268.44,263.36,317.0,227.5
2026-08-24,7,ALBSL,-,1030.0,1103.0,1030.0,1100.0,1100.0,1082.77,2261,1079.0,2448136.9,57,21.0,73.0,1.95,7.09,1.57,1120.66,1127.66,1334.0,930.0
2026-08-24,8,ALICL,-,415.2,415.2,411.1,413.0,413.0,412.48,6826,415.2,2815583.5,82,-2.2,4.1,-0.53,1.0,0.13,448.61,455.43,507.0,411.1
2026-08-24,9,ANLB,-,5000.0,5119.0,5000.0,5119.0,5119.0,5037.73,727,5140.0,3662433.0,40,-21.0,119.0,-0.41,2.38,1.59,6089.56,6109.59,7560.0,4956.0
2026-08-24,10,APHL,-,735.0,745.0,701.0,704.6,704.6,713.36,10595,738.0,7558068.5,242,-33.4,44.0,-4.53,6.28,-1.24,0.0,0.0,1053.4,299.7
2026-08-24,11,API,-,335.0,335.0,329.1,331.0,331.0,330.9,137437,335.0,45477551.4,421,-4.0,5.9,-1.19,1.79,0.03,340.44,324.3,370.0,258.8
2026-08-24,12,AVYAN,-,1011.0,1031.0,1001.0,1031.0,1031.0,1017.01,5960,1040.0,6061353.0,73,-9.0,30.0,-0.87,3.0,1.36,1092.01,1048.25,1366.0,906.0
2026-08-24,13,BANDIPUR,-,676.0,676.0,665.3,665.9,665.9,668.81,11753,676.9,7860563.4,248,-11.0,10.7,-1.63,1.61,-0.44,813.16,833.0,1233.0,285.0
2026-08-24,14,BARUN,-,318.0,321.0,315.0,316.2,316.2,318.02,31105,320.1,9892095.0,95,-3.9,6.0,-1.22,1.9,-0.58,341.81,340.82,401.5,292.1
2026-08-24,15,BBC,-,4119.0,4155.0,4025.0,4076.0,4076.0,4087.56,295,4100.0,1205831.0,29,-24.0,130.0,-0.59,3.23,-0.28,4557.57,4657.1,5600.0,3825.0
2026-08-24,16,BEDC,-,312.0,312.0,299.0,302.0,302.0,302.27,22965,308.0,6941729.8,112,-6.0,13.0,-1.95,4.35,-0.09,387.65,438.65,745.2,299.0
2026-08-24,17,BFC,-,481.0,481.0,460.0,463.5,463.5,464.72,15215,474.0,7070726.0,89,-10.5,21.0,-2.22,4.57,-0.26,488.32,483.05,562.0,411.5
2026-08-24,18,BGWT,-,520.0,520.0,500.0,512.0,512.0,507.74,2059,520.4,1045432.1,30,-8.4,20.0,-1.61,4.0,0.83,656.8,695.31,944.0,498.0
2026-08-24,19,BHCL,-,541.0,548.0,539.9,542.2,542.2,542.96,50571,541.0,27457952.5,363,1.2,8.1,0.22,1.5,-0.14,543.12,542.78,699.0,346.8
2026-08-24,20,BHDC,-,422.3,429.0,421.5,427.8,427.8,422.9,6778,425.0,2866424.1,63,2.8,7.5,0.66,1.78,1.15,458.0,466.11,616.0,412.0
2026-08-24,21,BHL,-,207.0,207.0,203.4,205.0,205.0,204.65,142617,207.0,29186183.9,435,-2.0,3.6,-0.97,1.77,0.17,218.93,208.31,264.4,164.0
2026-08-24,22,BHPL,-,501.0,501.0,461.1,470.0,470.0,466.8,4298,478.0,2006304.3,41,-8.0,39.9,-1.67,8.65,0.68,525.91,544.52,814.8,449.0
2026-08-24,23,BJHL,-,715.0,735.0,707.0,720.0,720.0,722.96,14892,720.0,10766366.0,196,0.0,28.0,0.0,3.96,-0.41,0.0,0.0,1305.0,270.1
2026-08-24,24,BNHC,-,275.0,283.0,272.0,276.7,276.7,275.69,11719,278.6,3230809.8,83,-1.9,11.0,-0.68,4.04,0.37,323.23,370.38,613.8,261.3
2026-08-24,25,BNT,-,11890.0,11900.0,11890.0,11900.0,11900.0,11895.0,20,11750.0,237900.0,2,150.0,10.0,1.28,0.08,0.04,11704.21,11738.7,12760.0,10660.0
2026-08-24,26,BPCL,-,648.0,666.9,648.0,659.8,659.8,656.75,31735,660.0,20841841.9,105,-0.2,18.9,-0.03,2.92,0.46,683.13,701.02,868.0,612.0
2026-08-24,27,BUNGAL,-,579.0,586.0,570.0,572.0,572.0,575.45,18772,584.0,10802261.8,211,-12.0,16.0,-2.05,2.81,-0.6,640.13,641.45,895.0,302.4
2026-08-24,28,CBBL,-,938.0,940.0,935.1,935.1,935.1,937.88,6757,939.5,6337248.3,122,-4.4,4.9,-0.47,0.52,-0.3,924.17,939.41,1124.0,882.0
2026-08-24,29,CBLD88,-,1176.0,1190.0,1176.0,1190.0,1190.0,1183.0,50,1201.0,59150.0,2,-11.0,14.0,-0.92,1.19,0.59,1219.46,1195.86,1325.0,1108.0
2026-08-24,30,CFCL,-,592.0,604.4,592.0,599.6,599.6,599.31,42409,599.0,25415938.3,183,0.6,12.4,0.1,2.09,0.05,576.96,554.91,699.0,445.1
2026-08-24,31,CGH,-,771.0,780.0,769.1,775.0,775.0,772.98,12090,772.3,9345341.3,79,2.7,10.9,0.35,1.42,0.26,803.73,825.34,1104.0,748.0
2026-08-24,32,CHCL,-,490.0,496.2,478.0,478.0,478.0,480.18,18735,484.4,8996263.5,160,-6.4,18.2,-1.32,3.81,-0.46,486.89,485.27,525.0,450.3
2026-08-24,33,CHDC,-,2205.0,2238.0,2200.0,2218.0,2218.0,2218.2,12370,2240.0,27439183.5,152,-22.0,38.0,-0.98,1.73,-0.01,2296.54,2310.71,2717.0,1967.0
2026-08-24,34,CHL,-,266.0,266.0,263.0,266.0,266.0,264.24,16692,266.0,4410758.7,61,0.0,3.0,0.0,1.14,0.66,284.18,279.57,332.5,223.4
2026-08-24,35,CIT,-,1694.0,1694.0,1680.0,1681.0,1681.0,1684.09,8070,1695.0,13590614.5,145,-14.0,14.0,-0.83,0.83,-0.18,1754.7,1771.51,1973.0,1630.3
2026-08-24,36,CITY,-,359.8,360.0,350.0,354.0,354.0,354.6,78994,359.0,28011663.3,298,-5.0,10.0,-1.39,2.86,-0.17,420.39,444.79,649.0,327.8
2026-08-24,37,CKHL,-,578.0,590.5,578.0,590.5,590.5,579.91,618,595.3,358386.0,23,-4.8,12.5,-0.81,2.16,1.79,652.9,660.33,804.0,525.0
2026-08-24,38,CLI,-,430.0,432.0,426.0,426.5,426.5,427.42,5124,430.0,2190104.6,159,-3.5,6.0,-0.81,1.41,-0.22,457.33,464.84,526.0,411.0
2026-08-24,39,CORBL,-,970.0,985.0,941.0,942.0,942.0,959.38,28323,972.0,27172532.0,506,-30.0,44.0,-3.09,4.68,-1.85,1740.37,1719.4,3183.0,941.0
2026-08-24,40,CREST,-,1148.0,1148.0,1090.0,1090.0,1090.0,1101.07,5646,1140.0,6216631.9,119,-50.0,58.0,-4.39,5.32,-1.02,1242.08,1267.01,1588.0,985.2
2026-08-24,41,CSY,-,8.55,9.01,8.55,9.01,9.01,8.69,3700,8.76,32166.0,11,0.25,0.46,2.85,5.38,3.51,9.28,0.0,10.0,8.2
2026-08-24,42,CYCL,-,1392.7,1600.0,1392.7,1600.0,1600.0,1529.33,28021,1466.0,42853288.2,352,134.0,207.3,9.14,14.88,4.42,1470.13,1495.54,1879.0,1216.0
2026-08-24,43,CZBIL,-,200.0,200.0,196.3,197.0,197.0,197.55,48924,201.6,9664764.0,171,-4.6,3.7,-2.28,1.88,-0.28,205.32,201.61,238.6,183.0
