Date,#,Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover
2026-06-29,1,ACLBSL,938.0,0.0,939.0,916.0,939.0,4085,3762613.1
2026-06-29,2,ADBL,304.7,0.0,305.0,300.2,300.2,7222,2190116.9
2026-06-29,3,AHL,448.0,0.0,480.9,437.1,480.9,6301,2828109.1
2026-06-29,4,AHPC,262.2,0.0,265.0,260.1,265.0,41458,10871381.9
2026-06-29,5,AKJCL,357.9,0.0,364.9,346.0,346.0,222203,79900926.0
2026-06-29,6,AKPL,254.1,0.0,257.0,254.0,257.0,39337,10045478.1
2026-06-29,7,ALBSL,1063.0,0.0,1080.0,1055.0,1056.0,865,921663.0
2026-06-29,8,ALICL,436.9,0.0,440.0,433.0,440.0,17209,7503999.2
2026-06-29,9,ANLB,5884.9,0.0,5884.9,5722.0,5722.6,509,2929470.6
2026-06-29,10,APHL,855.0,0.0,875.0,831.3,831.3,31428,26894334.1
2026-06-29,11,API,332.5,0.0,345.0,331.0,336.9,207481,69391677.1
2026-06-29,12,AVYAN,1043.0,0.0,1059.0,1031.1,1041.0,1444,1500521.0
2026-06-29,13,BANDIPUR,748.0,0.0,767.0,741.0,767.0,22104,16584794.1
2026-06-29,14,BARUN,319.0,0.0,325.0,318.0,322.5,35284,11298286.3
2026-06-29,15,BBC,4246.9,0.0,4280.0,4155.0,4279.9,211,891927.0
2026-06-29,16,BEDC,331.4,0.0,345.0,330.0,330.0,38469,12875429.4
2026-06-29,17,BFC,500.0,0.0,521.5,490.0,490.0,22822,11479443.4
2026-06-29,18,BGWT,604.0,0.0,604.0,585.5,600.0,1038,620404.3
2026-06-29,19,BHCL,545.0,0.0,586.6,542.0,586.6,45338,25135141.0
2026-06-29,20,BHDC,440.0,0.0,441.0,422.0,422.0,8492,3733483.3
2026-06-29,21,BHL,207.5,0.0,220.7,207.5,220.7,72705,15163225.6
2026-06-29,22,BHPL,505.0,0.0,505.6,500.0,505.5,4713,2362967.5
2026-06-29,23,BJHL,818.0,0.0,825.9,800.0,800.0,5123,4180095.8
2026-06-29,24,BNHC,313.0,0.0,315.4,313.0,315.1,3074,964876.0
2026-06-29,25,BNT,11600.0,0.0,11600.0,11600.0,11600.0,10,116000.0
2026-06-29,26,BPCL,642.0,0.0,654.9,642.0,654.9,33936,21907642.8
2026-06-29,27,BUNGAL,671.5,0.0,674.0,651.0,662.0,43084,28687020.5
2026-06-29,28,C30MF,9.94,0.0,10.0,9.81,9.9,7700,76799.0
2026-06-29,29,CBBL,910.6,0.0,915.0,905.0,906.1,11251,10235204.9
2026-06-29,30,CBLD88,1215.0,0.0,1215.0,1200.0,1200.0,80,96825.0
2026-06-29,31,CFCL,616.7,0.0,625.0,610.0,612.1,85647,52444340.3
2026-06-29,32,CGH,768.0,0.0,775.0,762.1,775.0,21444,16415223.1
2026-06-29,33,CHCL,476.0,0.0,477.0,475.0,477.0,30778,14634433.8
