Date,#,Symbol,Conf.,Open,High,Low,Close,LTP,VWAP,Qty.,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2026-08-20,1,ACLBSL,-,900.0,909.0,897.5,909.0,909.0,899.24,562,900.0,505370.5,18,9.0,11.5,1.0,1.28,1.07,959.69,961.66,1157.0,827.9
2026-08-20,2,ADBL,-,300.0,302.0,298.0,300.1,300.1,299.78,49169,300.9,14739926.6,132,-0.8,4.0,-0.27,1.34,0.11,311.8,307.86,340.0,285.2
2026-08-20,3,ADBLB87,-,1012.0,1015.0,1012.0,1015.0,1015.0,1013.0,500000,1012.0,506500000.0,5,3.0,3.0,0.3,0.3,0.2,0.0,0.0,1016.0,1000.0
2026-08-20,4,AHL,-,395.0,405.0,395.0,401.0,401.0,402.58,1091,400.0,439218.0,26,1.0,10.0,0.25,2.53,-0.39,481.75,512.72,699.0,387.6
2026-08-20,5,AHPC,-,259.0,261.4,257.1,260.5,260.5,259.9,83023,260.0,21577802.4,259,0.5,4.3,0.19,1.67,0.23,279.09,277.64,323.3,250.1
2026-08-20,6,AKJCL,-,350.6,355.5,350.5,355.0,355.0,353.43,136047,351.8,48082689.9,334,3.2,5.0,0.91,1.43,0.44,378.08,330.89,461.4,172.9
2026-08-20,7,AKPL,-,250.0,250.0,247.0,249.8,249.8,248.87,32954,249.0,8201148.7,156,0.8,3.0,0.32,1.21,0.37,268.6,263.29,317.0,227.5
2026-08-20,8,ALBSL,-,1065.0,1112.19,1065.0,1105.0,1105.0,1090.74,929,1099.8,1013299.4,51,5.2,47.19,0.47,4.43,1.29,1120.23,1127.09,1334.0,930.0
2026-08-20,9,ALICL,-,415.0,419.9,413.1,419.9,419.9,415.72,12470,415.0,5184038.9,94,4.9,6.8,1.18,1.65,1.0,449.0,455.84,507.0,413.1
2026-08-20,10,ANLB,-,5050.0,5140.0,4956.0,5138.0,5138.0,5008.88,1420,5100.0,7112606.0,68,38.0,184.0,0.75,3.71,2.51,6109.23,6121.01,7560.0,4956.0
2026-08-20,11,APHL,-,743.3,760.0,743.3,750.0,750.0,748.94,6043,753.0,4525827.2,152,-3.0,16.7,-0.4,2.25,0.14,0.0,0.0,1053.4,299.7
2026-08-20,12,API,-,331.0,336.0,328.0,335.4,335.4,332.75,139127,330.0,46295133.1,447,5.4,8.0,1.64,2.44,0.79,339.85,323.73,370.0,258.8
2026-08-20,13,AVYAN,-,1035.0,1035.0,1016.0,1034.0,1034.0,1022.24,2612,1035.0,2670086.3,43,-1.0,19.0,-0.1,1.87,1.14,1090.68,1047.57,1366.0,906.0
2026-08-20,14,BANDIPUR,-,682.0,684.0,676.0,680.3,680.3,679.12,13764,682.1,9347472.5,241,-1.8,8.0,-0.26,1.18,0.17,817.16,831.42,1233.0,285.0
2026-08-20,15,BARUN,-,316.0,318.5,312.2,317.0,317.0,314.86,17115,316.8,5388843.8,79,0.2,6.3,0.06,2.02,0.67,342.19,341.13,401.5,292.1
2026-08-20,16,BBC,-,4250.0,4250.0,4095.0,4130.0,4130.0,4122.71,372,4140.0,1533648.0,19,-10.0,155.0,-0.24,3.79,0.18,4566.68,4666.19,5600.0,3825.0
2026-08-20,17,BEDC,-,310.0,312.9,305.0,307.0,307.0,306.37,17068,311.9,5229091.8,103,-4.9,7.9,-1.57,2.59,0.21,391.1,441.67,745.2,303.1
2026-08-20,18,BFC,-,488.0,488.0,475.0,482.0,482.0,480.21,8180,476.2,3928152.5,66,5.8,13.0,1.22,2.74,0.37,488.16,483.09,562.0,411.5
2026-08-20,19,BGWT,-,515.5,520.0,498.0,520.0,520.0,502.85,7990,515.0,4017785.8,67,5.0,22.0,0.97,4.42,3.3,660.6,698.03,944.0,498.0
2026-08-20,20,BHCL,-,552.0,565.0,550.0,559.9,559.9,555.76,55660,568.0,30933709.5,317,-8.1,15.0,-1.43,2.73,0.74,543.71,542.05,699.0,292.1
2026-08-20,21,BHDC,-,426.0,435.0,422.1,434.0,434.0,429.23,8167,426.7,3505545.8,75,7.3,12.9,1.71,3.06,1.1,458.7,466.75,616.0,412.0
2026-08-20,22,BHL,-,210.0,210.0,206.5,208.0,208.0,207.75,45117,209.0,9373031.8,182,-1.0,3.5,-0.48,1.69,0.12,218.76,208.02,264.4,164.0
2026-08-20,23,BHPL,-,467.1,481.0,465.0,468.1,468.1,468.03,2723,477.4,1274439.5,38,-9.3,16.0,-1.95,3.44,0.02,527.28,546.61,814.8,449.0
2026-08-20,24,BJHL,-,710.0,724.0,695.0,724.0,724.0,710.94,17571,720.0,12492005.1,174,4.0,29.0,0.56,4.17,1.8,0.0,0.0,1305.0,270.1
2026-08-20,25,BNHC,-,280.0,280.0,275.0,279.8,279.8,277.22,11074,280.0,3069977.6,83,-0.2,5.0,-0.07,1.82,0.92,324.26,372.06,613.8,261.3
2026-08-20,26,BNT,-,11666.0,11750.0,11666.0,11750.0,11750.0,11708.0,20,11620.0,234160.0,2,130.0,84.0,1.12,0.72,0.36,11706.23,11728.35,12760.0,10660.0
2026-08-20,27,BPCL,-,640.0,655.0,635.3,655.0,655.0,645.07,18405,641.0,11872532.9,93,14.0,19.7,2.18,3.1,1.52,683.83,701.75,870.0,612.0
2026-08-20,28,BUNGAL,-,627.0,627.0,586.0,588.0,588.0,589.86,13603,598.0,8023809.1,191,-10.0,41.0,-1.67,7.0,-0.32,641.08,641.9,895.0,302.4
