Date,#,Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover
2026-06-12,1,ACLBSL,945.0,0.0,956.0,940.0,955.0,364,344146.6
2026-06-12,2,ADBL,309.9,0.0,311.0,307.6,308.0,23091,7123350.9
2026-06-12,3,AHL,484.4,0.0,486.5,481.1,481.8,4230,2043737.7
2026-06-12,4,AHPC,280.0,0.0,289.8,273.4,289.8,42429,11715551.9
2026-06-12,5,AKJCL,409.1,0.0,417.0,383.0,383.0,553119,226346907.9
2026-06-12,6,AKPL,269.8,0.0,272.8,263.0,265.0,152184,40741635.4
2026-06-12,7,ALBSL,1081.0,0.0,1102.0,1080.1,1082.0,950,1028206.0
2026-06-12,8,ALICL,452.0,0.0,458.0,449.0,449.0,8160,3673902.6
2026-06-12,9,ANLB,5800.0,0.0,5800.0,5750.0,5750.0,127,731300.7
2026-06-12,10,APHL,455.6,0.0,455.6,413.0,413.0,100,43758.0
2026-06-12,11,API,346.9,0.0,350.0,340.0,340.0,197228,68494148.3
2026-06-12,12,AVYAN,1060.0,0.0,1064.9,1055.0,1055.0,2990,3164579.5
2026-06-12,13,BANDIPUR,815.5,0.0,861.0,801.1,861.0,12826,10492340.0
2026-06-12,14,BARUN,339.0,0.0,345.0,337.9,340.0,23856,8135051.8
2026-06-12,15,BBC,4310.0,0.0,4324.9,4218.0,4300.0,341,1459686.0
2026-06-12,16,BEDC,359.0,0.0,362.8,355.0,355.0,5863,2109025.4
2026-06-12,17,BFC,506.0,0.0,519.6,484.5,484.5,44504,22848226.9
2026-06-12,18,BGWT,664.0,0.0,664.0,648.2,650.0,1943,1273782.3
2026-06-12,19,BHCL,574.0,0.0,590.0,566.0,577.0,51883,29984752.6
2026-06-12,20,BHDC,459.2,0.0,461.9,450.1,450.1,8021,3667702.3
2026-06-12,21,BHL,215.6,0.0,218.9,215.0,215.0,66132,14326804.5
2026-06-12,22,BHPL,525.0,0.0,561.2,525.0,561.2,7485,3943061.2
2026-06-12,23,BJHL,838.0,0.0,859.9,837.0,855.0,5544,4662739.2
2026-06-12,24,BNHC,326.0,0.0,330.0,325.0,325.0,2780,912469.0
2026-06-12,25,BNT,11700.0,0.0,11749.9,11700.0,11749.9,20,234499.0
2026-06-12,26,BPCL,679.9,0.0,709.9,668.6,709.9,23427,15841143.2
2026-06-12,27,BUNGAL,710.0,0.0,735.0,673.7,694.5,35379,25110415.3
2026-06-12,28,C30MF,9.92,0.0,10.0,9.9,10.0,49100,486945.0
2026-06-12,29,CBBL,911.1,0.0,917.0,908.2,917.0,21920,19960736.0
2026-06-12,30,CFCL,659.0,0.0,690.1,625.1,625.1,380639,255324168.2
2026-06-12,31,CGH,787.2,0.0,798.9,780.0,780.0,49408,38893983.7
2026-06-12,32,CHCL,483.4,0.0,489.0,480.8,489.0,13066,6313401.8
2026-06-12,33,CHDC,2255.0,0.0,2274.7,2211.1,2211.1,3934,8814340.6
2026-06-12,34,CHL,282.5,0.0,287.0,279.6,279.6,11612,3298930.7
2026-06-12,35,CIT,1741.0,0.0,1750.0,1738.0,1741.0,5783,10088858.3
2026-06-12,36,CITY,430.1,0.0,459.0,430.1,438.0,559005,248620216.2
2026-06-12,37,CIZBD90,1315.0,0.0,1261.0,1188.0,1261.0,100933,120140679.3
2026-06-12,38,CKHL,647.0,0.0,647.0,619.0,639.0,835,528085.0
2026-06-12,39,CLI,455.0,0.0,456.0,452.0,452.0,13285,6041488.8
2026-06-12,40,CORBL,1800.0,0.0,1840.0,1780.0,1788.1,19669,35475804.5
2026-06-12,41,CREST,1278.0,0.0,1280.0,1250.0,1260.0,10233,12848248.7
2026-06-12,42,CSY,9.22,0.0,9.3,9.22,9.26,7050,65337.3
2026-06-12,43,CYCL,1418.2,0.0,1430.0,1417.0,1418.0,873,1242125.2
2026-06-12,44,CZBIL,200.0,0.0,202.8,199.2,199.2,32483,6519450.4
2026-06-12,45,DDBL,835.0,0.0,840.0,835.0,835.0,3333,2790099.6
2026-06-12,46,DHEL,629.0,0.0,667.6,625.0,667.6,14215,8979212.8
2026-06-12,47,DHPL,299.8,0.0,310.0,294.0,310.0,5473,1618166.3
2026-06-12,48,DLBS,1250.5,0.0,1263.5,1250.0,1263.5,56,69795.2
2026-06-12,49,DOLTI,349.9,0.0,349.9,345.0,345.2,12697,4410160.4
2026-06-12,50,DORDI,270.0,0.0,274.0,267.1,274.0,19150,5161363.9
2026-06-12,51,EBL,699.9,0.0,704.0,696.0,704.0,22381,15653310.3
2026-06-12,52,EBLD85,1150.0,0.0,1150.0,1150.0,1150.0,10,11500.0
2026-06-12,53,EBLD86,1112.4,0.0,1112.4,1112.4,1112.4,55,61182.0
2026-06-12,54,EBLD91,1090.0,0.0,1090.0,1090.0,1090.0,64,69760.0
2026-06-12,55,EDBL,575.5,0.0,580.0,575.0,580.0,1664,958792.4
2026-06-12,56,EHPL,384.0,0.0,387.0,380.5,387.0,16402,6276968.0
2026-06-12,57,ENL,880.0,0.0,880.0,856.1,856.1,288,249856.4
2026-06-12,58,FMDBL,760.0,0.0,785.0,760.0,781.0,18769,14574636.7
2026-06-12,59,FOWAD,1016.0,0.0,1025.0,1010.3,1012.1,1855,1887787.6
2026-06-12,60,GBBD85,1113.4,0.0,1113.4,1081.0,1081.0,839,933317.6
