Date,#,Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover,Page
2026-04-29,1,ACLBSL,960.1,-2.02,995.0,955.0,979.9,747,718803.4,1
2026-04-29,2,ADBL,311.8,-1.33,316.0,310.0,316.0,10363,3226856.1,1
2026-04-29,3,AHL,505.0,-3.99,530.0,505.0,515.0,19693,10109212.6,1
2026-04-29,4,AHPC,281.0,-0.71,288.9,280.0,288.9,85880,24197145.7,1
2026-04-29,5,AKJCL,384.9,-2.97,399.0,376.9,376.9,425841,165650869.1,1
2026-04-29,6,AKPL,272.0,-0.69,276.9,271.0,273.9,130585,35867156.3,1
2026-04-29,7,ALBSL,1124.0,-0.49,1170.0,1100.0,1100.0,2711,3024818.3,1
2026-04-29,8,ALICL,454.5,-0.76,458.0,452.2,458.0,22641,10323768.1,1
2026-04-29,9,ANLB,6251.0,-0.49,6251.0,6115.1,6282.0,524,3220317.3,1
2026-04-29,10,API,339.1,-0.56,347.0,339.0,341.0,308091,105498289.8,1
2026-04-29,11,AVYAN,1115.9,2.0,1120.0,1088.1,1094.0,7530,8338479.2,1
2026-04-29,12,BANDIPUR,831.0,-1.89,858.0,804.7,804.7,28012,23520724.3,1
2026-04-29,13,BARUN,345.0,-0.75,352.0,343.0,347.6,44295,15280428.7,1
2026-04-29,14,BBC,4780.0,-0.4,5242.0,4757.1,4799.0,511,2475348.7,1
2026-04-29,15,BEDC,379.0,-2.07,394.0,376.0,388.0,82583,31500429.4,1
2026-04-29,16,BFC,458.0,-0.43,473.8,457.0,460.0,4746,2189777.1,1
2026-04-29,17,BGWT,740.0,0.0,740.0,715.0,740.0,2637,1918988.6,1
2026-04-29,18,BHCL,536.2,-1.61,554.8,535.0,545.0,21757,11748645.8,1
2026-04-29,19,BHDC,463.0,-0.75,470.0,443.2,443.2,15247,7029510.4,1
2026-04-29,20,BHL,218.0,-1.71,232.0,217.2,232.0,144903,31813300.5,1
2026-04-29,21,BHPL,527.0,-1.61,545.0,525.2,535.6,8371,4439845.3,1
2026-04-29,22,BJHL,1012.1,-8.66,1108.0,1008.8,1108.0,35959,37680012.0,1
2026-04-29,23,BNHC,332.0,1.84,334.0,327.0,326.0,8804,2912406.9,1
2026-04-29,24,BNT,11600.0,-1.69,11600.0,11501.2,11800.0,110,1269960.0,1
2026-04-29,25,BPCL,675.0,-0.59,712.9,670.1,712.9,16498,11137351.2,1
2026-04-29,26,BUNGAL,594.0,-1.0,603.0,570.0,570.0,15363,9028442.4,1
2026-04-29,27,C30MF,10.0,0.0,10.2,9.9,10.0,1500,14976.0,1
2026-04-29,28,CBBL,910.0,0.0,918.0,900.1,910.0,17360,15814130.8,1
2026-04-29,29,CBLD88,1182.1,2.35,1185.2,1185.0,1155.0,25,29612.5,1
2026-04-29,30,CCBD88,1210.0,-2.5,1210.0,1210.0,1241.0,25,30250.0,1
2026-04-29,31,CFCL,509.0,0.61,509.0,497.0,505.9,6971,3492126.9,1
2026-04-29,32,CGH,812.0,-0.37,830.0,812.0,815.0,9185,7482240.6,1
2026-04-29,33,CHCL,480.0,0.0,484.0,478.0,480.0,27724,13304323.7,1
2026-04-29,34,CHDC,2313.0,-0.06,2349.0,2291.0,2314.5,17435,40420421.3,1
2026-04-29,35,CHL,290.5,-0.89,300.0,290.0,293.1,22507,6562717.3,1
2026-04-29,36,CIT,1767.1,-0.16,1774.0,1760.0,1770.0,4559,8060280.8,1
2026-04-29,37,CITY,474.8,-9.25,497.1,456.0,497.1,47552,22728301.8,1
2026-04-29,38,CKHL,697.0,-0.74,714.7,682.3,682.3,2076,1447496.2,1
2026-04-29,39,CLI,456.1,-0.2,461.0,455.0,457.0,10338,4729702.3,1
2026-04-29,40,CMF2,10.1,2.43,10.1,10.1,9.86,100,1010.0,1
2026-04-29,41,CORBL,2353.0,-14.99,3183.0,2352.8,2629.6,118337,302814081.0,1
2026-04-29,42,CREST,1194.7,0.39,1242.3,1147.0,1147.0,8399,9840045.9,1
2026-04-29,43,CSY,9.37,-0.43,9.45,9.13,9.41,18530,173446.5,1
2026-04-29,44,CYCL,1495.0,-0.13,1523.9,1460.0,1497.0,3194,4713258.3,1
2026-04-29,45,CZBIL,206.9,-0.96,211.0,205.1,208.9,34486,7107377.1,1
2026-04-29,46,DDBL,830.0,0.0,834.9,828.1,830.0,4139,3437352.5,1
2026-04-29,47,DHEL,610.0,-1.37,622.0,605.0,618.5,18721,11401446.1,1
2026-04-29,48,DHPL,301.0,-0.99,306.0,300.0,304.0,8736,2629266.6,1
2026-04-29,49,DLBS,1290.0,0.0,1291.0,1265.2,1290.0,337,431085.0,1
2026-04-29,50,DOLTI,379.7,0.98,385.4,375.0,375.0,16646,6306896.8,1
2026-04-29,51,DORDI,277.5,-0.54,286.5,276.0,279.0,36700,10213134.2,1
2026-04-29,52,EBL,698.1,0.01,702.0,697.0,698.0,14240,9954215.6,1
2026-04-29,53,EBLD85,1136.0,-0.61,1170.0,1136.0,1143.0,100,116150.0,1
2026-04-29,54,EBLD86,1076.0,-0.14,1077.5,1077.5,1077.5,6,6489.0,1
2026-04-29,55,EBLD91,1070.0,-0.47,1070.0,1069.0,1075.0,265,283350.0,1
2026-04-29,56,EDBL,576.0,-0.67,585.5,552.0,552.0,6805,3927849.5,1
2026-04-29,57,EHPL,394.1,-1.97,422.1,394.1,422.1,42713,17007542.2,1
2026-04-29,58,ENL,895.0,-0.33,905.0,890.0,898.0,658,589741.0,1
2026-04-29,59,FMDBL,802.1,-0.48,830.0,801.0,806.0,10455,8387995.5,1
2026-04-29,60,FOWAD,1102.2,-2.46,1138.0,1100.0,1130.0,4771,5278378.8,1
2026-04-29,61,GBBD85,1088.5,1.55,1088.5,1071.9,1071.9,225,242360.0,1
2026-04-29,62,GBBL,407.7,0.42,412.0,407.7,406.0,17994,7348063.7,1
2026-04-29,63,GBILD84/85,1140.0,0.29,1140.0,1140.0,1136.7,25,28500.0,1
2026-04-29,64,GBIME,232.0,-1.28,237.0,228.0,237.0,214442,49396276.0,1
2026-04-29,65,GBIMESY2,9.35,-1.89,9.52,9.17,9.53,5310,49782.4,1
2026-04-29,66,GBLBS,763.0,-0.65,769.8,748.2,768.0,6516,4918629.4,1
2026-04-29,67,GCIL,414.3,-2.97,432.0,414.0,427.0,29950,12558736.3,1
2026-04-29,68,GFCL,621.5,-0.88,625.0,621.0,627.0,6652,4148238.4,1
2026-04-29,69,GHL,238.0,-1.45,248.5,237.3,241.5,70705,16981946.2,1
2026-04-29,70,GIBF1,11.16,2.76,11.18,10.73,10.86,26630,296443.2,1
2026-04-29,71,GILB,1120.0,0.63,1139.0,1112.0,1113.0,1307,1465623.5,1
2026-04-29,72,GLBSL,1800.0,-0.83,1815.0,1780.0,1815.0,554,989941.4,1
2026-04-29,73,GLH,267.5,-0.63,276.0,265.0,265.0,41640,11201996.0,1
2026-04-29,74,GMFBS,1358.0,-0.72,1358.0,1327.0,1367.8,517,687184.2,1
2026-04-29,75,GMFIL,464.1,-0.51,470.0,462.1,466.5,3850,1795278.0,1
2026-04-29,76,GMLI,1350.0,-1.46,1360.0,1333.7,1370.0,3305,4442238.0,1
2026-04-29,77,GRDBL,1143.0,2.16,1173.4,1115.1,1118.8,67094,77458494.1,1
2026-04-29,78,GSY,9.9,0.0,10.0,9.85,9.9,4910,48632.0,1
2026-04-29,79,GUFL,511.5,-1.06,528.0,511.1,517.0,11416,5909980.8,1
2026-04-29,80,GVL,488.4,-1.33,496.0,488.2,495.0,16264,7994410.5,1
2026-04-29,81,H8020,11.71,-2.42,12.0,11.68,12.0,8980,105280.4,1
2026-04-29,82,HATHY,835.0,-1.18,845.0,835.0,845.0,10576,8860542.9,1
2026-04-29,83,HBL,206.8,-0.14,210.0,203.0,207.1,135988,27922940.4,1
2026-04-29,84,HBLD86,1152.1,4.74,1166.0,1133.0,1100.0,57,65613.7,1
2026-04-29,85,HDHPC,225.0,-1.32,234.6,223.5,228.0,488683,111274375.0,1
2026-04-29,86,HDL,1148.2,-0.07,1206.4,1148.0,1206.4,27342,31456738.2,1
2026-04-29,87,HEI,516.0,0.19,516.0,502.0,515.0,3388,1735510.4,1
2026-04-29,88,HEIP,322.1,-3.85,325.9,316.5,335.0,529,171428.3,1
2026-04-29,89,HFIN,1060.0,-7.67,1191.0,1038.0,1191.0,189770,206007502.0,1
2026-04-29,90,HHL,388.0,1.31,403.0,364.0,364.0,208071,81685242.6,1
2026-04-29,91,HIDCL,269.9,-0.7,285.3,267.7,285.3,77336,20849009.3,1
2026-04-29,92,HIDCLP,203.0,-0.64,207.0,202.0,204.3,177620,36166520.0,1
2026-04-29,93,HIMSTAR,872.0,-2.9,898.0,870.5,898.0,6367,5603242.1,1
2026-04-29,94,HLBSL,880.3,0.0,881.0,878.2,880.3,716,629825.9,1
2026-04-29,95,HLI,345.0,-0.69,350.0,344.0,347.4,78714,27244191.7,1
2026-04-29,96,HLICF,9.02,-0.11,9.3,8.91,9.03,6600,60988.0,1
2026-04-29,97,HPPL,387.3,-1.43,392.8,380.5,392.9,56621,21755812.1,1
2026-04-29,98,HRL,685.5,1.24,691.0,677.0,677.0,87233,59509094.1,1
2026-04-29,99,HURJA,260.0,-1.1,264.8,255.0,262.9,182035,47090766.9,1
2026-04-29,100,ICFC,625.0,-0.13,630.0,625.0,625.8,6653,4165280.0,1
2026-04-29,1,ACLBSL,960.1,-2.02,995.0,955.0,979.9,747,718803.4,2
2026-04-29,2,ADBL,311.8,-1.33,316.0,310.0,316.0,10363,3226856.1,2
2026-04-29,3,AHL,505.0,-3.99,530.0,505.0,515.0,19693,10109212.6,2
2026-04-29,4,AHPC,281.0,-0.71,288.9,280.0,288.9,85880,24197145.7,2
2026-04-29,5,AKJCL,384.9,-2.97,399.0,376.9,376.9,425841,165650869.1,2
2026-04-29,6,AKPL,272.0,-0.69,276.9,271.0,273.9,130585,35867156.3,2
2026-04-29,7,ALBSL,1124.0,-0.49,1170.0,1100.0,1100.0,2711,3024818.3,2
2026-04-29,8,ALICL,454.5,-0.76,458.0,452.2,458.0,22641,10323768.1,2
2026-04-29,9,ANLB,6251.0,-0.49,6251.0,6115.1,6282.0,524,3220317.3,2
2026-04-29,10,API,339.1,-0.56,347.0,339.0,341.0,308091,105498289.8,2
2026-04-29,11,AVYAN,1115.9,2.0,1120.0,1088.1,1094.0,7530,8338479.2,2
2026-04-29,12,BANDIPUR,831.0,-1.89,858.0,804.7,804.7,28012,23520724.3,2
2026-04-29,13,BARUN,345.0,-0.75,352.0,343.0,347.6,44295,15280428.7,2
2026-04-29,14,BBC,4780.0,-0.4,5242.0,4757.1,4799.0,511,2475348.7,2
2026-04-29,15,BEDC,379.0,-2.07,394.0,376.0,388.0,82583,31500429.4,2
2026-04-29,16,BFC,458.0,-0.43,473.8,457.0,460.0,4746,2189777.1,2
2026-04-29,17,BGWT,740.0,0.0,740.0,715.0,740.0,2637,1918988.6,2
2026-04-29,18,BHCL,536.2,-1.61,554.8,535.0,545.0,21757,11748645.8,2
2026-04-29,19,BHDC,463.0,-0.75,470.0,443.2,443.2,15247,7029510.4,2
2026-04-29,20,BHL,218.0,-1.71,232.0,217.2,232.0,144903,31813300.5,2
2026-04-29,21,BHPL,527.0,-1.61,545.0,525.2,535.6,8371,4439845.3,2
2026-04-29,22,BJHL,1012.1,-8.66,1108.0,1008.8,1108.0,35959,37680012.0,2
2026-04-29,23,BNHC,332.0,1.84,334.0,327.0,326.0,8804,2912406.9,2
2026-04-29,24,BNT,11600.0,-1.69,11600.0,11501.2,11800.0,110,1269960.0,2
2026-04-29,25,BPCL,675.0,-0.59,712.9,670.1,712.9,16498,11137351.2,2
2026-04-29,26,BUNGAL,594.0,-1.0,603.0,570.0,570.0,15363,9028442.4,2
2026-04-29,27,C30MF,10.0,0.0,10.2,9.9,10.0,1500,14976.0,2
2026-04-29,28,CBBL,910.0,0.0,918.0,900.1,910.0,17360,15814130.8,2
2026-04-29,29,CBLD88,1182.1,2.35,1185.2,1185.0,1155.0,25,29612.5,2
2026-04-29,30,CCBD88,1210.0,-2.5,1210.0,1210.0,1241.0,25,30250.0,2
2026-04-29,31,CFCL,509.0,0.61,509.0,497.0,505.9,6971,3492126.9,2
