Date,#,Symbol,Conf.,Open,High,Low,Close,LTP,VWAP,Qty.,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2026-09-09,1,ACLBSL,29.2,886.0,886.0,872.2,884.0,884.0,883.59,373,886.0,329578.6,16,-2.0,13.8,-0.23,1.58,0.05,951.7,954.99,1095.0,827.9
2026-09-09,2,ADBL,39.22,299.0,301.0,297.6,299.0,299.0,299.01,22639,300.0,6769231.6,125,-1.0,3.4,-0.33,1.14,0.0,311.01,306.87,340.0,285.2
2026-09-09,3,ADBLD83,21.5,1020.1,1020.1,1020.1,1020.1,1020.1,1020.1,100,1039.9,102010.0,1,-19.8,0.0,-1.9,0.0,0.0,1074.81,1084.1,1132.9,1015.0
2026-09-09,4,AHL,36.87,355.0,360.1,355.0,356.3,356.3,358.17,3135,360.0,1122865.1,22,-3.7,5.1,-1.03,1.44,-0.53,468.96,498.86,699.0,355.0
2026-09-09,5,AHPC,39.53,253.3,255.8,252.5,254.9,254.9,254.55,51132,253.3,13015415.8,198,1.6,3.3,0.63,1.31,0.14,275.68,275.8,323.3,245.8
2026-09-09,6,AKJCL,32.46,344.0,345.0,336.0,338.0,338.0,340.69,246140,340.6,83856732.9,449,-2.6,9.0,-0.76,2.68,-0.8,375.78,340.17,461.4,172.9
2026-09-09,7,AKPL,44.21,250.0,254.0,247.3,249.0,249.0,250.13,100108,250.0,25040311.1,181,-1.0,6.7,-0.4,2.71,-0.46,265.74,263.27,317.0,227.5
2026-09-09,8,ALBSL,44.23,1071.0,1135.0,1071.0,1114.0,1114.0,1098.67,18823,1102.1,20680186.0,118,11.9,64.0,1.08,5.98,1.38,1118.66,1127.77,1334.0,930.0
2026-09-09,9,ALICL,33.68,407.9,407.9,397.0,398.0,398.0,398.5,6052,402.0,2411735.0,60,-4.0,10.9,-1.0,2.75,-0.13,443.8,451.48,505.0,381.4
2026-09-09,10,ANLB,24.35,4800.0,4966.9,4800.0,4870.0,4870.0,4865.08,507,4908.0,2466595.9,36,-38.0,166.9,-0.77,3.48,0.1,5983.72,6044.22,7560.0,4755.0
2026-09-09,11,APHL,32.29,670.0,701.0,670.0,680.1,680.1,688.72,6558,690.0,4516645.7,153,-9.9,31.0,-1.43,4.63,-1.27,0.0,0.0,1053.4,299.7
2026-09-09,12,API,24.46,329.0,330.5,325.0,327.5,327.5,326.96,114456,329.0,37422447.1,390,-1.5,5.5,-0.46,1.69,0.17,340.43,326.27,370.0,258.8
