Date,#,Symbol,Conf.,Open,High,Low,Close,LTP,VWAP,Qty.,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2026-07-29,1,ACLBSL,31.84,945.7,945.7,925.0,926.2,926.2,926.03,2437,945.7,2256744.7,27,-19.5,20.7,-2.06,2.24,0.02,965.44,968.33,1240.0,827.9
2026-07-29,2,ADBL,38.2,323.0,323.0,318.1,321.1,321.1,320.65,114885,320.5,36838064.4,179,0.6,4.9,0.19,1.54,0.14,310.2,308.24,344.9,285.2
2026-07-29,3,AHL,30.53,410.4,430.0,410.4,417.0,417.0,419.48,2839,420.0,1190906.0,44,-3.0,19.6,-0.71,4.78,-0.59,502.0,530.62,699.0,405.0
2026-07-29,4,AHPC,24.6,270.0,270.0,267.6,268.3,268.3,268.65,34746,270.0,9334426.1,145,-1.7,2.4,-0.63,0.9,-0.13,280.54,279.14,325.0,250.1
2026-07-29,5,AKJCL,24.98,355.0,372.0,355.0,365.0,365.0,366.2,235655,369.0,86297367.1,465,-4.0,17.0,-1.08,4.79,-0.33,375.88,315.61,461.4,172.9
2026-07-29,6,AKPL,25.4,257.0,261.9,256.6,258.9,258.9,258.07,34071,258.5,8792616.1,150,0.4,5.3,0.15,2.07,0.32,270.45,262.33,317.0,227.5
2026-07-29,7,ALBSL,20.63,1050.0,1130.0,1050.0,1084.9,1084.9,1079.45,601,1094.0,648750.6,39,-9.1,80.0,-0.83,7.62,0.5,1124.93,1116.85,1334.0,921.0
2026-07-29,8,ALICL,24.29,455.7,455.7,429.2,436.0,436.0,434.06,7937,434.0,3445162.6,61,2.0,26.5,0.46,6.17,0.44,454.95,459.99,540.0,413.4
2026-07-29,9,ANLB,29.07,5600.0,5658.0,5600.0,5658.0,5658.0,5609.72,2170,5735.0,12173097.0,67,-77.0,58.0,-1.34,1.04,0.85,6197.55,6189.38,7560.0,5450.0
2026-07-29,10,APHL,42.6,825.6,872.9,825.6,846.0,846.0,855.07,17554,869.0,15009935.7,302,-23.0,47.3,-2.65,5.73,-1.07,0.0,0.0,1053.4,299.7
2026-07-29,11,API,24.9,336.5,339.0,334.0,335.0,335.0,335.99,110350,336.5,37076200.3,369,-1.5,5.0,-0.45,1.5,-0.29,335.4,319.19,370.0,258.8
2026-07-29,12,AVYAN,28.57,1037.2,1040.1,1013.0,1013.0,1013.0,1027.24,3775,1042.0,3877819.5,64,-29.0,27.1,-2.78,2.68,-1.41,1080.0,1043.88,1366.0,906.0
2026-07-29,13,BANDIPUR,27.25,721.1,742.7,721.1,722.2,722.2,731.85,13667,730.0,10002163.2,249,-7.8,21.6,-1.07,3.0,-1.34,862.74,0.0,1233.0,285.0
2026-07-29,14,BARUN,24.76,325.0,333.0,323.0,325.9,325.9,326.17,14537,324.2,4741486.7,84,1.7,10.0,0.52,3.1,-0.08,348.09,341.93,409.9,292.1
2026-07-29,15,BBC,38.06,4210.0,4328.0,4210.0,4300.0,4300.0,4287.25,150,4300.0,643088.0,15,0.0,118.0,0.0,2.8,0.3,4650.11,4729.6,6120.0,4021.1
2026-07-29,16,BEDC,24.7,322.0,328.9,321.5,322.1,322.1,322.95,11327,325.0,3658059.3,87,-2.9,7.4,-0.89,2.3,-0.26,419.76,466.39,872.0,303.1
2026-07-29,17,BFC,23.29,489.0,525.0,489.0,509.0,509.0,514.7,29657,514.0,15264564.5,184,-5.0,36.0,-0.97,7.36,-1.12,485.81,480.83,579.9,411.5
2026-07-29,18,BGWT,24.89,573.0,597.0,573.0,597.0,597.0,586.35,1589,590.0,931710.5,33,7.0,24.0,1.19,4.19,1.78,690.82,718.19,977.9,516.1
