Date,#,Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover
2026-06-01,1,ACLBSL,950.0,0.0,975.0,950.0,975.0,663,633078.1
2026-06-01,2,ADBL,315.2,0.0,320.0,315.0,320.0,17306,5470466.0
2026-06-01,3,ADBLD83,1051.9,0.0,1051.9,1051.9,1051.9,25,26297.5
2026-06-01,4,AHL,500.0,0.0,508.0,495.0,508.0,7729,3861740.0
2026-06-01,5,AHPC,281.5,0.0,290.0,278.0,290.0,113904,32108057.0
2026-06-01,6,AKJCL,431.0,0.0,443.9,425.2,440.0,997531,430451751.5
2026-06-01,7,AKPL,271.9,0.0,280.0,270.0,279.0,106989,29145017.4
2026-06-01,8,ALBSL,1093.0,0.0,1160.0,1087.0,1100.0,6984,7677639.7
2026-06-01,9,ALICL,455.8,0.0,462.5,452.0,462.4,23886,10857610.1
2026-06-01,10,ANLB,5980.0,0.0,5980.0,5810.0,5900.0,157,922991.0
2026-06-01,11,API,355.4,0.0,370.0,354.0,370.0,405037,145742952.6
2026-06-01,12,AVYAN,1115.0,0.0,1167.8,1111.8,1167.8,2427,2723946.5
2026-06-01,13,BANDIPUR,825.0,0.0,864.0,822.1,850.0,37590,31449993.8
2026-06-01,14,BARUN,343.1,0.0,354.8,343.0,353.0,33356,11581550.8
2026-06-01,15,BBC,4515.0,0.0,4738.0,4466.0,4600.0,2775,12697380.0
2026-06-01,16,BEDC,368.9,0.0,380.0,366.0,380.0,30421,11332929.7
2026-06-01,17,BFC,455.9,0.0,458.9,447.0,458.0,10202,4613566.7
2026-06-01,18,BGWT,658.0,0.0,672.9,655.1,657.0,72,47609.0
2026-06-01,19,BHCL,624.0,0.0,626.0,590.0,601.1,206078,127029919.5
2026-06-01,20,BHDC,463.9,0.0,474.8,458.0,461.0,49026,22603312.5
2026-06-01,21,BHL,222.0,0.0,228.0,220.0,220.0,120478,26894416.4
2026-06-01,22,BHPL,523.3,0.0,539.0,523.0,538.0,6044,3171879.0
2026-06-01,23,BJHL,911.0,0.0,946.9,900.0,936.0,13674,12588898.5
2026-06-01,24,BNHC,330.1,0.0,340.0,330.0,335.0,1831,610969.3
2026-06-01,25,BNT,11834.0,0.0,12200.0,11834.0,11895.0,30,359290.0
2026-06-01,26,BOKD86,1086.0,0.0,1086.0,1086.0,1086.0,25,27150.0
2026-06-01,27,BPCL,681.9,0.0,700.0,671.4,700.0,23940,16318461.7
2026-06-01,28,BUNGAL,730.0,0.0,799.0,723.0,799.0,104206,77330890.0
2026-06-01,29,C30MF,10.1,0.0,10.25,9.97,10.2,673658,6755173.5
2026-06-01,30,CBBL,923.9,0.0,940.0,920.0,940.0,16794,15527209.0
2026-06-01,31,CBLD88,1225.0,0.0,1225.0,1194.8,1194.8,50,60495.0
2026-06-01,32,CCBD88,1250.0,0.0,1250.0,1250.0,1250.0,100,125000.0
2026-06-01,33,CFCL,534.0,0.0,536.0,499.0,513.0,48603,25166675.3
2026-06-01,34,CGH,797.0,0.0,805.0,790.0,803.0,22363,17769612.0
2026-06-01,35,CHCL,491.9,0.0,507.6,484.0,507.6,68793,33593319.1
2026-06-01,36,CHDC,2285.0,0.0,2360.0,2277.0,2360.0,5932,13567433.7
2026-06-01,37,CHL,292.0,0.0,301.0,290.0,290.1,15736,4608874.9
2026-06-01,38,CIT,1778.7,0.0,1860.0,1772.0,1860.0,4718,8389830.6
2026-06-01,39,CITY,371.0,0.0,390.0,365.0,390.0,165567,62023832.3
2026-06-01,40,CIZBD90,1266.9,0.0,1266.9,1210.0,1210.0,110,135586.5
2026-06-01,41,CKHL,675.0,0.0,729.7,675.0,729.7,1706,1160196.5
2026-06-01,42,CLI,455.0,0.0,460.0,450.0,450.0,16729,7637699.8
2026-06-01,43,CMF2,9.91,0.0,9.91,9.91,9.91,300,2973.0
2026-06-01,44,CORBL,2037.0,0.0,2200.0,1970.5,1991.0,10784,21656327.3
2026-06-01,45,CREST,1256.2,0.0,1400.0,1229.0,1400.0,11858,15115945.3
2026-06-01,46,CSY,9.4,0.0,9.5,9.14,9.14,6930,64574.4
2026-06-01,47,CYCL,1478.0,0.0,1495.0,1455.1,1495.0,165,241630.3
2026-06-01,48,CZBIL,202.4,0.0,207.0,202.0,206.0,62548,12729718.1
2026-06-01,49,DDBL,850.0,0.0,865.0,821.6,847.0,4954,4165498.9
2026-06-01,50,DHEL,623.0,0.0,654.0,618.5,630.0,36183,22861378.1
2026-06-01,51,DHPL,308.0,0.0,312.0,298.0,312.0,11323,3432281.0
2026-06-01,52,DLBS,1275.5,0.0,1276.0,1270.0,1276.0,113,143528.0
2026-06-01,53,DOLTI,349.9,0.0,362.0,347.3,362.0,40257,14163281.8
2026-06-01,54,DORDI,276.0,0.0,284.9,276.0,284.0,38922,10868737.2
2026-06-01,55,EBL,709.5,0.0,715.0,707.5,715.0,15926,11321002.6
2026-06-01,56,EBLD85,1153.1,0.0,1153.1,1140.1,1140.1,50,57265.0
2026-06-01,57,EBLD86,1091.8,0.0,1091.8,1091.8,1091.8,25,27295.0
2026-06-01,58,EBLD91,1070.1,0.0,1070.1,1065.1,1065.1,50,53380.0
2026-06-01,59,EBLEB89,1080.0,0.0,1082.0,1080.0,1082.0,55,59460.0
2026-06-01,60,EDBL,579.0,0.0,589.0,572.2,572.2,3805,2189014.4
2026-06-01,61,EHPL,390.1,0.0,410.1,389.1,410.1,14043,5527806.6
2026-06-01,62,ENL,895.0,0.0,910.0,860.0,910.0,1252,1097778.0
2026-06-01,63,FMDBL,788.0,0.0,831.6,783.0,831.6,12912,10196075.6
2026-06-01,64,FOWAD,1036.0,0.0,1066.0,1036.0,1063.0,4090,4267400.7
2026-06-01,65,GBBD85,1085.0,0.0,1085.0,1080.0,1080.0,50,54125.0
2026-06-01,66,GBBL,419.0,0.0,445.9,416.3,433.0,27973,11958451.4
2026-06-01,67,GBILD84/85,1155.0,0.0,1155.0,1155.0,1155.0,25,28875.0
2026-06-01,68,GBIME,240.6,0.0,242.0,238.0,242.0,100395,23987649.7
2026-06-01,69,GBIMESY2,9.4,0.0,9.63,9.35,9.35,20000,189202.0
2026-06-01,70,GBLBS,773.9,0.0,794.8,772.0,772.1,3722,2883259.8
2026-06-01,71,GCIL,430.0,0.0,443.0,425.0,439.0,25974,11240775.7
2026-06-01,72,GFCL,620.5,0.0,627.0,617.09,623.0,16053,10002973.32
2026-06-01,73,GHL,239.0,0.0,244.5,237.0,238.0,57563,13796538.7
2026-06-01,74,GIBF1,11.0,0.0,11.0,10.56,10.56,36300,388855.0
2026-06-01,75,GILB,1122.8,0.0,1147.0,1112.1,1147.0,184,206944.4
2026-06-01,76,GLBSL,1791.2,0.0,1800.1,1790.0,1800.0,367,658588.0
2026-06-01,77,GLH,268.0,0.0,278.0,268.0,271.0,29317,7948716.4
2026-06-01,78,GMFBS,1295.0,0.0,1300.0,1272.0,1272.1,851,1089712.4
2026-06-01,79,GMFIL,467.9,0.0,469.0,451.1,469.0,17696,8143947.9
2026-06-01,80,GMLI,1307.9,0.0,1318.0,1280.0,1282.0,3393,4378952.5
2026-06-01,81,GRDBL,1068.9,0.0,1086.0,1056.0,1070.0,5267,5614555.4
2026-06-01,82,GSY,10.02,0.0,10.02,9.72,9.93,9250,91950.8
2026-06-01,83,GUFL,527.9,0.0,543.1,525.0,543.1,7670,4059576.4
2026-06-01,84,GVL,490.7,0.0,500.0,490.0,491.0,7253,3578477.3
2026-06-01,85,H8020,11.99,0.0,12.36,11.66,12.0,19550,234560.0
2026-06-01,86,HATHY,786.0,0.0,804.0,785.0,804.0,2931,2312731.0
2026-06-01,87,HBL,200.5,0.0,204.0,200.0,200.0,56188,11329898.1
2026-06-01,88,HDHPC,224.2,0.0,231.0,222.0,231.0,272012,61485686.8
2026-06-01,89,HDL,1165.0,0.0,1179.9,1165.0,1175.0,24220,28373418.5
2026-06-01,90,HEI,548.0,0.0,570.0,540.0,540.0,31857,17694147.3
2026-06-01,91,HEIP,337.7,0.0,337.7,323.0,332.5,1638,543688.5
2026-06-01,92,HFIN,955.0,0.0,988.1,953.1,988.1,51409,49629970.2
2026-06-01,93,HHL,364.0,0.0,370.0,364.0,365.0,35351,12958796.9
2026-06-01,94,HIDCL,266.2,0.0,274.0,265.1,270.0,114009,30580001.6
2026-06-01,95,HIDCLP,205.0,0.0,210.0,202.0,210.0,243393,49706876.5
2026-06-01,96,HIMSTAR,860.0,0.0,911.0,852.1,858.4,5836,5106159.7
2026-06-01,97,HLBSL,890.0,0.0,890.0,857.0,860.0,1248,1079220.5
2026-06-01,98,HLI,341.0,0.0,348.0,340.0,343.0,29026,9939896.0
2026-06-01,99,HLICF,8.9,0.0,9.0,8.85,9.0,7200,64201.12
2026-06-01,100,HPPL,376.5,0.0,385.0,373.0,383.9,26528,10044449.2
2026-06-01,101,HRL,674.4,0.0,719.0,635.0,645.0,379125,257738337.9
2026-06-01,102,HURJA,255.3,0.0,262.0,255.0,260.0,102023,26312358.9
