Date,#,Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover
2026-06-08,1,ACLBSL,957.0,0.0,960.0,947.5,955.0,1135,1079694.9
2026-06-08,2,ADBL,314.5,0.0,316.6,310.0,316.6,39867,12403750.5
2026-06-08,3,ADBLD83,1052.0,0.0,1052.0,1052.0,1052.0,25,26300.0
2026-06-08,4,AHL,490.3,0.0,497.0,487.0,495.0,12120,5948942.8
2026-06-08,5,AHPC,276.0,0.0,279.0,275.0,277.0,89266,24608982.1
2026-06-08,6,AKJCL,404.8,0.0,420.0,393.0,393.0,341678,138057776.2
2026-06-08,7,AKPL,266.0,0.0,274.6,253.7,253.7,70412,18740831.3
2026-06-08,8,ALBSL,1101.1,0.0,1110.0,1079.0,1079.0,2564,2797846.4
2026-06-08,9,ALICL,457.6,0.0,459.8,453.0,459.8,17392,7920846.7
2026-06-08,10,ANLB,5870.0,0.0,5950.0,5780.1,5780.1,401,2334878.0
2026-06-08,11,API,346.7,0.0,350.0,345.3,348.0,154559,53654598.2
2026-06-08,12,AVYAN,1090.0,0.0,1100.0,1082.1,1100.0,5309,5777693.0
2026-06-08,13,BANDIPUR,814.0,0.0,823.0,806.0,815.0,27535,22334846.2
2026-06-08,14,BARUN,339.0,0.0,340.0,336.2,338.0,22442,7595582.2
2026-06-08,15,BBC,4388.0,0.0,4450.0,4296.0,4388.1,1266,5488174.0
2026-06-08,16,BEDC,359.0,0.0,360.0,356.5,360.0,17576,6295443.7
2026-06-08,17,BFC,526.3,0.0,539.0,520.0,520.0,165982,87847144.5
2026-06-08,18,BGWT,664.8,0.0,675.0,652.6,675.0,409,269390.3
2026-06-08,19,BHCL,573.0,0.0,595.0,571.9,594.0,79958,46511204.6
2026-06-08,20,BHDC,456.0,0.0,463.0,456.0,460.0,11381,5206426.8
2026-06-08,21,BHL,216.9,0.0,220.7,208.1,208.1,77832,16886327.6
2026-06-08,22,BHPL,539.7,0.0,560.0,530.0,560.0,8784,4725875.3
2026-06-08,23,BJHL,838.0,0.0,892.0,829.0,835.0,14599,12231806.1
2026-06-08,24,BNHC,325.3,0.0,336.0,325.0,336.0,5475,1790961.8
2026-06-08,25,BNT,11615.0,0.0,11615.0,11600.0,11600.0,50,580150.0
2026-06-08,26,BPCL,679.0,0.0,693.0,676.0,680.0,9447,6413740.0
2026-06-08,27,BUNGAL,686.0,0.0,735.1,682.1,735.1,24953,17197457.8
2026-06-08,28,C30MF,10.0,0.0,10.21,9.92,10.01,1900,18977.0
2026-06-08,29,CBBL,920.0,0.0,929.0,918.0,929.0,13313,12252543.5
