Date,#,Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover
2026-06-24,1,ACLBSL,955.0,0.0,956.0,940.0,940.0,1035,978412.7
2026-06-24,2,ADBL,307.7,0.0,307.7,302.0,302.1,17126,5207285.4
2026-06-24,3,AHL,470.0,0.0,502.0,460.0,460.0,2505,1167400.0
2026-06-24,4,AHPC,266.9,0.0,279.9,260.2,279.9,150040,39890536.3
2026-06-24,5,AKJCL,371.5,0.0,375.0,356.0,368.5,815172,296233269.3
2026-06-24,6,AKPL,262.6,0.0,263.0,255.0,259.5,87384,22475282.8
2026-06-24,7,ALBSL,1080.0,0.0,1090.0,1050.0,1090.0,4470,4767065.3
2026-06-24,8,ALICL,440.1,0.0,441.4,438.1,441.1,29108,12793599.4
2026-06-24,9,ANLB,5875.0,0.0,5899.0,5723.0,5899.0,161,933838.7
2026-06-24,10,APHL,875.0,0.0,900.0,810.0,860.0,39477,33349079.0
2026-06-24,11,API,337.8,0.0,339.0,331.1,337.0,219330,73272020.7
2026-06-24,12,AVYAN,1055.0,0.0,1079.9,1041.2,1055.0,4154,4349227.0
2026-06-24,13,BANDIPUR,779.5,0.0,800.0,755.0,800.0,40626,31528912.1
2026-06-24,14,BARUN,329.0,0.0,337.0,320.3,337.0,38770,12555707.1
2026-06-24,15,BBC,4298.0,0.0,4480.0,4123.0,4123.0,602,2545612.0
2026-06-24,16,BEDC,346.0,0.0,359.0,342.0,359.0,30077,10439535.7
2026-06-24,17,BFC,520.1,0.0,521.5,486.7,486.7,87068,44928460.5
2026-06-24,18,BGWT,616.0,0.0,671.3,605.0,671.3,1829,1129598.6
2026-06-24,19,BHCL,547.0,0.0,549.7,522.0,525.0,65740,35260995.8
2026-06-24,20,BHDC,445.0,0.0,449.0,425.1,425.1,8193,3626521.8
2026-06-24,21,BHL,210.0,0.0,215.0,208.0,213.5,114607,24020424.0
2026-06-24,22,BHPL,519.9,0.0,523.0,492.0,492.0,7740,3968926.4
2026-06-24,23,BJHL,943.0,0.0,943.0,781.0,800.0,8327,6754567.1
2026-06-24,24,BNHC,317.5,0.0,327.0,315.0,327.0,2621,828450.6
2026-06-24,25,BNT,11525.0,0.0,11525.0,11525.0,11525.0,10,115250.0
2026-06-24,26,BPCL,657.0,0.0,666.0,640.0,666.0,32236,20939642.9
2026-06-24,27,BUNGAL,669.0,0.0,703.0,662.0,700.0,36626,24556035.8
2026-06-24,28,C30MF,10.0,0.0,10.0,9.81,9.81,300,2965.0
2026-06-24,29,CBBL,910.5,0.0,915.0,908.1,912.0,15062,13713706.6
2026-06-24,30,CBLD88,1215.4,0.0,1215.4,1215.4,1215.4,50,60770.0
2026-06-24,31,CFCL,624.0,0.0,634.0,591.9,591.9,99615,61696810.0
2026-06-24,32,CGH,764.1,0.0,780.0,763.0,770.2,22504,17298705.6
2026-06-24,33,CHCL,479.0,0.0,486.0,478.0,481.0,20045,9610137.0
2026-06-24,34,CHDC,2188.9,0.0,2219.9,2140.0,2219.1,19112,41260764.8
2026-06-24,35,CHL,266.0,0.0,273.0,265.0,270.1,13333,3575096.0
2026-06-24,36,CIT,1712.1,0.0,1717.0,1630.3,1630.3,7008,11951324.0
2026-06-24,37,CITY,395.0,0.0,406.0,379.1,379.1,75525,29669379.1
2026-06-24,38,CKHL,630.0,0.0,630.0,621.0,621.0,252,157306.2
2026-06-24,39,CLI,447.7,0.0,453.0,446.0,450.1,18636,8370410.9
2026-06-24,40,CMF2,9.89,0.0,9.89,9.61,9.62,22000,217030.0
2026-06-24,41,CORBL,1712.2,0.0,1766.0,1702.1,1766.0,2603,4470884.3
2026-06-24,42,CORBLP,100.0,0.0,100.0,100.0,100.0,10000,1000000.0
2026-06-24,43,CREST,1208.0,0.0,1249.9,1185.0,1225.0,8168,9811372.7
2026-06-24,44,CSY,9.15,0.0,9.2,9.02,9.02,8450,77422.5
2026-06-24,45,CYCL,1606.8,0.0,1606.8,1400.0,1400.0,3422,4991314.6
2026-06-24,46,CZBIL,196.3,0.0,199.0,193.4,197.0,43194,8444204.5
2026-06-24,47,DDBL,836.1,0.0,841.5,836.0,841.5,9898,8296043.8
2026-06-24,48,DHEL,598.9,0.0,612.9,584.1,595.1,19213,11418429.3
2026-06-24,49,DHPL,289.0,0.0,304.0,281.3,304.0,5226,1489483.5
2026-06-24,50,DLBS,1275.0,0.0,1275.0,1201.3,1237.0,2295,2830049.0
2026-06-24,51,DOLTI,349.0,0.0,355.0,341.1,351.0,34591,11951264.4
2026-06-24,52,DORDI,254.9,0.0,258.0,250.0,258.0,24443,6167269.2
2026-06-24,53,EBL,699.0,0.0,699.0,695.0,699.0,33095,23070512.8
2026-06-24,54,EBLD86,1082.0,0.0,1082.0,1081.1,1081.1,50,54077.5
2026-06-24,55,EBLD91,1090.0,0.0,1090.0,1080.0,1090.0,675,735250.0
2026-06-24,56,EDBL,558.2,0.0,569.9,558.2,569.9,5351,2999381.4
2026-06-24,57,EHPL,383.5,0.0,385.0,380.0,381.2,14174,5414702.7
2026-06-24,58,ENL,849.0,0.0,864.0,845.4,864.0,480,407892.5
2026-06-24,59,FMDBL,768.0,0.0,779.9,733.0,733.0,16136,12318837.5
2026-06-24,60,FOWAD,996.0,0.0,1001.0,985.0,1000.0,2021,2000167.6
2026-06-24,61,GBBD85,1100.0,0.0,1100.0,1090.0,1090.0,50,54750.0
2026-06-24,62,GBBL,406.0,0.0,409.9,401.0,405.5,55111,22331585.2
2026-06-24,63,GBIME,240.0,0.0,241.0,237.3,239.0,139676,33317848.6
2026-06-24,64,GBIMESY2,9.42,0.0,9.42,9.15,9.42,1600,14860.0
2026-06-24,65,GBLBS,767.0,0.0,770.0,756.9,760.0,2151,1633964.3
2026-06-24,66,GCIL,367.0,0.0,368.0,360.0,368.0,22636,8223161.8
2026-06-24,67,GFCL,632.9,0.0,632.9,619.0,620.0,6701,4171471.5
2026-06-24,68,GHL,221.0,0.0,227.0,218.0,226.0,59237,13090232.9
2026-06-24,69,GIBF1,10.55,0.0,10.55,10.53,10.53,700,7378.0
2026-06-24,70,GILB,1116.0,0.0,1116.0,1093.3,1093.3,941,1033962.2
2026-06-24,71,GLBSL,1860.0,0.0,1898.2,1790.0,1790.0,1513,2790291.1
2026-06-24,72,GLH,253.0,0.0,257.0,250.0,255.3,67845,17047028.0
2026-06-24,73,GMFBS,1252.0,0.0,1265.0,1252.0,1265.0,151,190050.4
2026-06-24,74,GMFIL,481.9,0.0,492.0,472.2,492.0,21510,10348169.0
2026-06-24,75,GMLI,1180.0,0.0,1200.0,1170.0,1200.0,2726,3217539.4
2026-06-24,76,GRDBL,1054.0,0.0,1060.0,1030.0,1037.0,8782,9159266.6
2026-06-24,77,GSY,10.0,0.0,10.0,9.72,9.9,3750,37070.5
2026-06-24,78,GUFL,551.0,0.0,555.0,545.1,549.0,7166,3930129.2
2026-06-24,79,GVL,476.5,0.0,484.0,475.1,484.0,13248,6320386.4
2026-06-24,80,H8020,11.53,0.0,12.0,11.49,12.0,2600,30353.0
2026-06-24,81,HATHY,737.0,0.0,754.0,730.6,754.0,5757,4243388.6
2026-06-24,82,HBL,193.8,0.0,205.6,191.3,205.6,48449,9371579.2
2026-06-24,83,HDHPC,211.5,0.0,214.9,206.8,213.1,191131,40031400.5
2026-06-24,84,HDL,1140.2,0.0,1150.0,1137.1,1146.0,28211,32180555.7
2026-06-24,85,HEI,543.0,0.0,556.2,535.1,547.0,12780,6959525.2
2026-06-24,86,HEIP,333.0,0.0,333.0,333.0,333.0,51,16983.0
2026-06-24,87,HFIN,756.0,0.0,785.0,741.1,761.1,51168,38539137.2
2026-06-24,88,HHL,342.9,0.0,353.9,337.1,345.0,31585,10767820.2
2026-06-24,89,HIDCL,256.0,0.0,259.9,252.0,255.1,84472,21473783.4
2026-06-24,90,HIDCLP,189.2,0.0,193.7,188.1,190.0,159694,30334804.1
2026-06-24,91,HIMSTAR,793.0,0.0,810.0,770.0,810.0,8482,6618940.0
2026-06-24,92,HLBSL,865.0,0.0,874.9,856.0,856.0,280,241457.3
2026-06-24,93,HLI,329.5,0.0,334.0,326.7,333.8,28924,9525149.8
2026-06-24,94,HLICF,8.88,0.0,9.0,8.62,8.88,4100,35856.12
2026-06-24,95,HPPL,364.0,0.0,368.4,358.0,358.0,16382,5902907.3
2026-06-24,96,HRL,594.0,0.0,605.0,577.0,577.0,111805,66232211.7
2026-06-24,97,HURJA,237.7,0.0,241.0,234.0,241.0,52364,12413392.8
2026-06-24,98,ICFC,619.0,0.0,623.9,613.1,621.0,20016,12337901.0
2026-06-24,99,ICFCD83,1120.0,0.0,1120.0,1119.9,1119.9,100,111996.7
2026-06-24,100,ICFCD88,1148.0,0.0,1148.0,1115.1,1115.1,75,85277.5
2026-06-24,101,ICFCD89,1114.9,0.0,1118.0,1095.1,1095.1,930,1033618.5
2026-06-24,102,IGI,436.0,0.0,444.8,430.3,439.0,11010,4806235.9
2026-06-24,103,IHL,372.0,0.0,378.1,365.1,375.0,18578,6902960.2
2026-06-24,104,ILBS,909.8,0.0,909.8,890.0,895.0,2458,2196261.2
2026-06-24,105,ILI,424.0,0.0,429.0,417.0,426.1,28992,12175834.2
2026-06-24,106,JBBL,341.0,0.0,347.5,336.1,347.5,25321,8601830.3
2026-06-24,107,JBLB,1260.0,0.0,1263.0,1220.0,1220.0,3544,4459658.8
2026-06-24,108,JFL,403.0,0.0,405.0,400.0,405.0,7024,2821813.8
2026-06-24,109,JHAPA,1258.9,0.0,1375.6,1220.0,1250.0,13865,17339564.0
2026-06-24,110,JOSHI,265.0,0.0,265.0,259.2,265.0,9345,2452972.7
2026-06-24,111,JSLBB,1045.0,0.0,1045.0,1000.0,1012.1,562,565747.6
