Date,#,Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover,Page
2026-05-07,1,ACLBSL,950.0,0.02,950.0,940.0,949.8,92,86704.3,1
2026-05-07,2,ADBL,308.0,0.98,308.0,305.0,305.0,14376,4404348.8,1
2026-05-07,3,AHL,510.0,0.0,515.0,495.0,505.0,11662,5910499.9,1
2026-05-07,4,AHPC,274.9,0.29,278.1,260.4,260.4,94515,25689011.5,1
2026-05-07,5,AKJCL,346.9,-0.86,352.6,332.7,332.7,235332,81149934.7,1
2026-05-07,6,AKPL,263.1,0.42,264.0,260.0,264.0,68258,17865216.3,1
2026-05-07,7,ALBSL,1106.0,0.09,1119.0,1088.0,1088.0,4143,4531037.2,1
2026-05-07,8,ALICL,450.8,0.29,454.0,445.6,446.2,4054,1817409.6,1
2026-05-07,9,ANLB,5919.9,-0.51,5919.9,5607.2,5772.0,687,3903167.0,1
2026-05-07,10,API,332.3,0.39,335.0,329.7,333.8,210088,69834265.2,1
2026-05-07,11,AVYAN,1117.9,-0.01,1120.0,1100.4,1120.0,1461,1630401.0,1
2026-05-07,12,BANDIPUR,803.0,0.0,805.0,790.0,803.0,25441,20316823.5,1
2026-05-07,13,BARUN,336.0,-0.59,340.0,335.6,340.0,18731,6317726.3,1
2026-05-07,14,BBC,4799.0,1.78,4814.0,4722.1,4814.0,301,1429893.0,1
2026-05-07,15,BEDC,354.7,0.48,359.6,350.0,359.6,23449,8255312.7,1
2026-05-07,16,BFC,450.0,-0.44,457.0,447.0,456.0,5603,2517542.5,1
2026-05-07,17,BGWT,638.0,1.5,650.0,592.0,647.4,7379,4600488.5,1
2026-05-07,18,BHCL,497.6,-0.24,505.0,496.0,500.0,9253,4615415.7,1
2026-05-07,19,BHDC,459.9,1.48,480.0,448.0,466.7,9052,4125988.3,1
2026-05-07,20,BHL,216.5,0.32,218.0,214.0,214.0,86014,18592169.6,1
2026-05-07,21,BHPL,517.0,0.56,520.0,511.0,520.0,5397,2778182.3,1
2026-05-07,22,BJHL,978.0,1.65,990.0,955.0,975.0,10486,10209205.9,1
2026-05-07,23,BNHC,317.0,0.79,320.0,315.0,315.0,1440,457102.6,1
2026-05-07,24,BNL,14800.0,-2.62,14800.0,14800.0,14800.0,20,296000.0,1
2026-05-07,25,BPCL,656.2,-0.26,689.1,656.0,689.1,11942,7878574.9,1
2026-05-07,26,BUNGAL,562.0,-0.53,570.0,557.1,560.0,3992,2244910.1,1
2026-05-07,27,C30MF,9.77,-1.31,10.0,9.75,10.0,400,3952.0,1
2026-05-07,28,CBBL,900.0,-0.44,914.0,894.0,910.0,23285,21013448.1,1
2026-05-07,29,CBLD88,1183.0,-0.59,1183.0,1183.0,1183.0,25,29575.0,1
2026-05-07,30,CCBD88,1201.0,-1.97,1201.2,1201.0,1201.2,25,30028.0,1
2026-05-07,31,CFCL,487.0,-0.94,493.0,486.0,493.0,2534,1240005.5,1
2026-05-07,32,CGH,803.4,0.17,810.0,800.0,802.3,4799,3850762.1,1
2026-05-07,33,CHCL,470.0,-0.84,480.0,450.3,450.3,51185,24086286.3,1
2026-05-07,34,CHDC,2210.2,0.46,2220.0,2177.0,2177.0,7554,16636387.3,1
2026-05-07,35,CHL,284.0,0.0,288.9,281.5,281.5,8936,2548375.7,1
2026-05-07,36,CIT,1760.0,-0.28,1770.0,1750.0,1770.0,3489,6124566.6,1
