Date,#,Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover
2026-07-22,1,ACLBSL,952.0,0.0,960.9,940.2,960.9,541,511462.6
2026-07-22,2,ADBL,318.9,0.0,320.0,310.2,314.0,79891,25343030.0
2026-07-22,3,AHL,430.8,0.0,445.0,430.8,445.0,1222,529671.0
2026-07-22,4,AHPC,275.0,0.0,278.0,274.0,278.0,53003,14584223.3
2026-07-22,5,AKJCL,388.0,0.0,394.6,381.0,385.0,599402,232015807.7
2026-07-22,6,AKPL,267.0,0.0,269.0,261.1,263.0,135933,35982215.0
2026-07-22,7,ALBSL,1101.0,0.0,1163.9,1060.0,1060.0,2604,2861365.9
2026-07-22,8,ALICL,438.0,0.0,444.9,432.0,440.0,13723,5990316.3
2026-07-22,9,ANLB,5841.0,0.0,6545.0,5650.0,5650.0,1491,8527137.8
2026-07-22,10,APHL,837.5,0.0,853.0,826.4,827.1,19020,15894464.9
2026-07-22,11,API,343.5,0.0,345.7,339.0,340.0,229342,78654235.6
2026-07-22,12,AVYAN,1074.0,0.0,1090.0,1055.0,1076.3,4771,5110302.0
2026-07-22,13,BANDIPUR,739.1,0.0,750.0,735.0,740.0,20471,15200698.0
2026-07-22,14,BARUN,335.0,0.0,339.0,327.0,330.0,29119,9728193.8
2026-07-22,15,BBC,4268.0,0.0,4400.0,4256.0,4300.0,545,2356241.0
2026-07-22,16,BEDC,330.1,0.0,335.0,327.1,330.0,17694,5868292.5
2026-07-22,17,BFC,535.1,0.0,558.0,530.0,530.0,289485,158039510.5
2026-07-22,18,BGWT,613.0,0.0,619.0,596.0,601.0,3182,1924169.7
2026-07-22,19,BHCL,499.0,0.0,520.0,495.0,510.0,39493,19772590.2
2026-07-22,20,BHDC,445.0,0.0,446.9,437.4,437.4,5850,2591212.2
2026-07-22,21,BHL,215.5,0.0,220.0,214.1,220.0,77294,16715140.7
2026-07-22,22,BHPL,495.9,0.0,502.0,490.0,490.0,7959,3926920.0
2026-07-22,23,BJHL,756.1,0.0,794.0,750.6,794.0,8067,6136476.8
2026-07-22,24,BNHC,296.9,0.0,296.9,290.4,290.4,26437,7778039.2
2026-07-22,25,BNL,15200.0,0.0,15200.0,15200.0,15200.0,30,456000.0
2026-07-22,26,BNT,11571.0,0.0,11573.0,11571.0,11573.0,30,347160.0
2026-07-22,27,BOKD86KA,1134.0,0.0,1169.0,1134.0,1169.0,136,155484.0
2026-07-22,28,BPCL,671.8,0.0,677.9,640.0,640.0,24712,16462005.5
2026-07-22,29,BUNGAL,705.0,0.0,723.0,607.0,607.0,65595,42068325.8
2026-07-22,30,C30MF,10.09,0.0,10.1,10.0,10.0,13380,134764.2
2026-07-22,31,CBBL,933.5,0.0,939.0,927.0,936.0,19042,17750689.6
2026-07-22,32,CFCL,641.3,0.0,650.8,602.0,602.0,113396,72910401.4
2026-07-22,33,CGH,785.0,0.0,794.8,776.5,794.8,6372,4976480.7
2026-07-22,34,CHCL,495.2,0.0,496.0,480.1,493.0,44279,21742810.8
2026-07-22,35,CHDC,2219.0,0.0,2224.7,2160.0,2160.0,10269,22757550.7
2026-07-22,36,CHL,268.0,0.0,274.0,268.0,273.0,12159,3273089.6
2026-07-22,37,CIT,1724.0,0.0,1732.0,1710.0,1730.5,4080,7019182.5
2026-07-22,38,CITY,390.0,0.0,400.0,375.0,375.6,399404,156117622.8
2026-07-22,39,CKHL,604.9,0.0,629.2,593.7,607.1,15236,9101177.1
2026-07-22,40,CLI,450.0,0.0,453.0,429.0,429.0,5568,2494797.6
2026-07-22,41,CORBL,1439.0,0.0,1555.0,1282.0,1390.0,80525,112327498.8
2026-07-22,42,CREST,1222.0,0.0,1266.0,1160.0,1220.0,10216,12418996.0
2026-07-22,43,CSY,9.32,0.0,9.32,9.0,9.1,12484,115882.08
2026-07-22,44,CYCL,1375.0,0.0,1375.0,1350.0,1356.0,400,542053.8
2026-07-22,45,CZBIL,203.0,0.0,203.7,200.0,200.5,29829,6024188.7
2026-07-22,46,DDBL,842.1,0.0,851.9,841.0,850.0,4449,3755403.7
2026-07-22,47,DHEL,595.0,0.0,600.0,585.0,590.0,18488,10914324.2
2026-07-22,48,DHPL,296.5,0.0,307.9,295.0,299.0,8229,2440189.6
2026-07-22,49,DLBS,1249.0,0.0,1287.5,1200.0,1200.0,5635,7059794.7
2026-07-22,50,DOLTI,334.9,0.0,339.0,329.0,338.9,26029,8625445.2
2026-07-22,51,DORDI,262.0,0.0,265.9,260.3,260.3,14235,3732360.9
2026-07-22,52,EBL,718.0,0.0,725.0,717.0,720.0,12550,9026616.9
