Date,#,Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover,Page
2026-05-04,60,GBBD85,1075.0,-2.27,1075.0,1075.0,1075.0,25,26875.0,1
2026-05-04,61,GBBL,413.0,-0.24,419.9,410.2,419.9,18835,7777887.0,1
2026-05-04,62,GBILD86/87,1086.0,0.56,1086.0,1085.0,1086.0,78,84698.0,1
2026-05-04,63,GBIME,229.0,-0.87,232.8,219.5,219.5,85181,19489648.5,1
2026-05-04,64,GBIMESY2,9.15,-0.54,9.18,9.0,9.0,13110,119973.5,1
2026-05-04,65,GBLBS,740.1,-1.32,750.0,740.1,750.0,2221,1651333.2,1
2026-05-04,66,GCIL,412.4,-0.63,420.0,409.0,415.0,12076,4966853.9,1
2026-05-04,67,GFCL,609.0,-1.81,620.0,603.0,620.0,5543,3388008.5,1
2026-05-04,68,GHL,227.4,-2.82,235.0,227.1,234.9,78752,18079226.8,1
2026-05-04,69,GIBF1,10.62,-3.45,10.84,10.61,10.84,2900,31347.0,1
2026-05-04,70,GILB,1107.5,0.66,1107.5,1081.0,1100.2,834,907006.4,1
2026-05-04,71,GLBSL,1750.0,-0.79,1770.0,1750.0,1770.0,346,606170.0,1
2026-05-04,72,GLH,262.4,-0.79,267.9,251.3,251.3,48418,12692167.0,1
2026-05-04,73,GMFBS,1300.0,-0.77,1305.0,1289.0,1301.0,580,753592.0,1
2026-05-04,74,GMFIL,450.0,-3.1,470.0,447.0,470.0,4591,2072380.7,1
2026-05-04,75,GMLI,1308.9,2.26,1315.0,1250.0,1280.1,2857,3681368.2,1
2026-05-04,76,GRDBL,1039.9,-5.46,1094.9,1037.0,1090.0,22313,23608210.4,1
2026-05-04,77,GSY,9.6,-1.84,9.8,9.57,9.57,3120,29929.4,1
2026-05-04,78,GUFL,511.0,-1.39,520.1,510.0,518.0,9908,5102660.8,1
2026-05-04,79,GVL,487.0,-0.1,491.0,475.0,480.0,12281,5943549.3,1
