Date,#,Symbol,Conf.,Open,High,Low,Close,LTP,VWAP,Qty.,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2026-08-11,1,ACLBSL,-,915.0,927.9,914.0,927.9,927.9,916.16,433,915.0,396697.5,22,12.9,13.9,1.41,1.52,1.27,963.36,964.63,1175.0,827.9
2026-08-11,2,ADBL,-,302.1,305.9,301.0,302.5,302.5,302.72,71707,305.0,21707236.3,259,-2.5,4.9,-0.82,1.63,-0.07,311.4,308.29,344.9,285.2
2026-08-11,3,AHL,-,410.0,417.0,410.0,417.0,417.0,410.9,544,410.0,223532.0,26,7.0,7.0,1.71,1.71,1.46,490.2,520.48,699.0,405.0
2026-08-11,4,AHPC,-,265.0,267.5,263.5,264.2,264.2,264.48,59333,265.0,15692145.0,196,-0.8,4.0,-0.3,1.52,-0.1,280.39,278.28,323.3,250.1
2026-08-11,5,AKJCL,-,350.0,371.9,350.0,365.0,365.0,367.0,283588,366.9,104078205.6,518,-1.9,21.9,-0.52,6.26,-0.55,378.76,324.25,461.4,172.9
2026-08-11,6,AKPL,-,252.5,256.5,252.5,254.3,254.3,254.57,39308,254.7,10006828.6,162,-0.4,4.0,-0.16,1.58,-0.11,269.72,262.89,317.0,227.5
2026-08-11,7,ALBSL,-,1055.0,1119.0,1055.0,1113.9,1113.9,1095.53,33881,1090.0,37117685.2,217,23.9,64.0,2.19,6.07,1.65,1120.7,1122.31,1334.0,930.0
2026-08-11,8,ALICL,-,418.0,423.0,418.0,420.0,420.0,420.36,11144,418.0,4684490.7,95,2.0,5.0,0.48,1.2,-0.09,451.04,457.48,509.0,413.4
2026-08-11,9,ANLB,-,5300.0,5790.0,5300.0,5438.0,5438.0,5374.84,2026,5467.0,10889430.4,83,-29.0,490.0,-0.53,9.25,1.16,6165.12,6157.51,7560.0,5300.0
2026-08-11,10,APHL,-,820.0,840.0,820.0,830.0,830.0,829.01,11603,828.0,9619019.2,250,2.0,20.0,0.24,2.44,0.12,0.0,0.0,1053.4,299.7
2026-08-11,11,API,-,330.0,335.0,325.1,332.0,332.0,329.24,242144,328.5,79723467.5,570,3.5,9.9,1.07,3.05,0.83,337.91,321.66,370.0,258.8
2026-08-11,12,AVYAN,-,1042.0,1051.0,1042.0,1043.0,1043.0,1045.62,777,1051.0,812446.5,20,-8.0,9.0,-0.76,0.86,-0.25,1085.32,1045.28,1366.0,906.0
2026-08-11,13,BANDIPUR,-,675.0,699.0,675.0,686.1,686.1,688.31,20031,680.0,13787456.3,320,6.1,24.0,0.9,3.56,-0.32,832.79,0.0,1233.0,285.0
2026-08-11,14,BARUN,-,320.0,323.3,318.2,319.1,319.1,319.6,14010,318.7,4477611.8,67,0.4,5.1,0.13,1.6,-0.16,344.43,341.74,407.1,292.1
2026-08-11,15,BBC,-,4280.0,4280.0,4155.0,4209.9,4209.9,4208.84,174,4249.0,732338.0,14,-39.1,125.0,-0.92,3.01,0.03,4604.42,4696.53,5690.0,3825.0
2026-08-11,16,BEDC,-,328.6,328.6,316.0,318.0,318.0,318.58,14377,319.1,4580234.3,91,-1.1,12.6,-0.34,3.99,-0.18,403.24,453.92,774.9,303.1
2026-08-11,17,BFC,-,502.9,502.9,492.0,492.0,492.0,495.84,33215,494.6,16469286.5,154,-2.6,10.9,-0.53,2.22,-0.78,487.2,482.97,562.0,411.5
2026-08-11,18,BGWT,-,535.0,545.0,535.0,545.0,545.0,543.5,666,548.0,361974.0,31,-3.0,10.0,-0.55,1.87,0.27,674.88,707.31,944.0,516.1
2026-08-11,19,BHCL,-,490.0,498.0,488.0,490.0,490.0,492.56,15807,490.0,7785948.1,199,0.0,10.0,0.0,2.05,-0.52,546.65,538.51,699.0,292.1
2026-08-11,20,BHDC,-,426.0,430.0,426.0,428.1,428.1,427.81,6859,426.0,2934342.3,74,2.1,4.0,0.49,0.94,0.07,461.84,469.33,616.0,412.0
2026-08-11,21,BHL,-,196.6,211.0,196.6,208.0,208.0,207.92,50014,206.9,10399096.9,223,1.1,14.4,0.53,7.32,0.04,218.52,206.82,264.4,164.0
2026-08-11,22,BHPL,-,475.0,499.0,473.1,499.0,499.0,483.6,6066,482.5,2933547.6,53,16.5,25.9,3.42,5.47,3.09,531.79,553.75,820.0,449.0
