Date,#,Symbol,Conf.,Open,High,Low,Close,LTP,VWAP,Qty.,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2026-08-06,162,MMKJL,22.87,477.9,477.9,450.1,458.0,458.0,461.09,2213,464.0,1020392.3,55,-6.0,27.8,-1.29,6.18,-0.67,518.25,546.08,699.9,429.1
2026-08-06,163,MNBBL,23.09,370.0,370.0,367.0,369.5,369.5,368.74,10573,369.0,3898689.5,102,0.5,3.0,0.14,0.82,0.21,373.49,367.1,477.0,340.1
2026-08-06,164,MNMF1,32.45,9.6,9.6,9.57,9.6,9.6,9.59,2000,9.6,19186.0,11,0.0,0.03,0.0,0.31,0.07,9.82,9.56,10.4,8.53
2026-08-06,165,MPFL,23.18,606.0,615.0,606.0,611.0,611.0,612.63,7322,615.0,4485701.2,26,-4.0,9.0,-0.65,1.49,-0.27,633.9,618.19,744.0,491.0
2026-08-06,166,MSHL,31.66,606.0,609.0,606.0,609.0,609.0,608.03,189,610.0,114918.0,10,-1.0,3.0,-0.16,0.5,0.16,712.48,766.13,955.0,576.0
2026-08-06,167,MSLB,40.56,1265.0,1268.0,1255.0,1255.0,1255.0,1262.91,2572,1270.0,3248213.0,43,-15.0,13.0,-1.18,1.04,-0.63,1274.09,1308.19,1710.0,1089.9
2026-08-06,168,NABBC,40.78,829.9,875.0,829.9,843.0,843.0,851.1,34024,824.9,28957729.2,312,18.1,45.1,2.19,5.43,-0.96,1094.29,1112.95,1835.0,662.0
2026-08-06,169,NABIL,25.75,568.0,568.0,550.0,552.0,552.0,553.09,53215,557.0,29432922.0,535,-5.0,18.0,-0.9,3.27,-0.2,528.01,518.77,568.0,471.0
2026-08-06,170,NABILD2089,20.16,1040.0,1040.0,1040.0,1040.0,1040.0,1040.0,25,1050.0,26000.0,1,-10.0,0.0,-0.95,0.0,0.0,1081.2,0.0,1154.0,1000.0
2026-08-06,171,NADEP,25.66,774.0,774.0,720.0,730.0,730.0,722.83,1051,737.2,759694.0,13,-7.2,54.0,-0.98,7.5,0.98,760.58,769.91,998.0,696.0
2026-08-06,172,NBF2,33.45,9.94,9.94,9.8,9.9,9.9,9.91,3100,9.95,30722.0,7,-0.05,0.14,-0.5,1.43,-0.1,9.97,9.77,10.95,8.89
2026-08-06,173,NBF3,26.09,9.58,9.78,9.49,9.51,9.51,9.59,26710,9.65,256118.0,21,-0.14,0.29,-1.45,3.06,-0.83,9.88,9.63,10.67,8.35
2026-08-06,174,NBL,24.45,255.5,272.0,255.5,269.0,269.0,266.82,55321,268.7,14760673.9,205,0.3,16.5,0.11,6.46,0.81,265.9,258.05,302.9,225.4
2026-08-06,175,NBLD82,21.43,1023.5,1023.5,1023.1,1023.1,1023.1,1023.3,50,1024.0,51165.0,2,-0.9,0.4,-0.09,0.04,-0.02,1077.64,1047.66,1140.0,1023.1
2026-08-06,176,NBLD87,13.27,1061.1,1061.1,1061.1,1061.1,1061.1,1061.1,10,1090.0,10611.0,1,-28.9,0.0,-2.65,0.0,0.0,1099.41,1083.0,1225.0,1015.5
2026-08-06,177,NESDO,29.87,1489.0,1490.0,1455.0,1469.0,1469.0,1473.13,661,1479.0,973737.1,8,-10.0,35.0,-0.68,2.41,-0.28,1544.17,1532.95,1840.0,1380.1
2026-08-06,178,NFS,25.42,570.0,576.0,567.5,568.0,568.0,570.89,1584,570.0,904287.0,26,-2.0,8.5,-0.35,1.5,-0.51,605.14,617.85,763.9,550.0
2026-08-06,179,NGPL,41.16,409.9,416.0,408.2,412.8,412.8,411.93,139627,407.0,57515919.1,361,5.8,7.8,1.43,1.91,0.21,436.4,422.92,502.0,343.0
2026-08-06,180,NHDL,37.0,644.0,644.0,632.1,641.0,641.0,641.12,2636,644.0,1689997.8,21,-3.0,11.9,-0.47,1.88,-0.02,644.79,659.79,796.0,606.3
2026-08-06,181,NHPC,45.3,282.8,289.9,276.8,277.1,277.1,284.15,683738,281.9,194285983.0,1256,-4.8,13.1,-1.7,4.73,-2.55,274.87,247.8,340.0,178.6
2026-08-06,182,NIBD84,30.93,1035.3,1035.3,1035.3,1035.3,1035.3,1035.3,50,1040.1,51765.0,1,-4.8,0.0,-0.46,0.0,0.0,1055.14,1050.81,1130.0,1017.8
2026-08-06,183,NIBLGF,35.0,9.16,9.5,9.16,9.25,9.25,9.28,2800,9.43,25988.0,14,-0.18,0.34,-1.91,3.71,-0.34,9.52,9.24,11.81,8.24
2026-08-06,184,NIBLSTF,27.61,8.3,8.79,8.3,8.79,8.79,8.7,17927,8.55,156035.52,11,0.24,0.49,2.81,5.9,0.98,9.19,8.97,10.85,8.02
2026-08-06,185,NIBSF2,38.5,8.6,9.0,8.6,9.0,9.0,8.99,52174,8.65,468822.94,11,0.35,0.4,4.05,4.65,0.16,9.24,9.01,11.13,8.1
2026-08-06,186,NICA,25.93,329.2,332.0,325.0,327.9,327.9,326.65,69912,329.1,22836619.3,319,-1.2,7.0,-0.36,2.15,0.38,347.57,340.6,411.0,304.5
2026-08-06,187,NICBF,22.11,9.07,9.1,9.07,9.1,9.1,9.09,600,9.2,5452.0,4,-0.1,0.03,-1.09,0.33,0.15,9.47,9.29,11.2,8.45
2026-08-06,188,NICD88,27.6,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,50,1100.0,55000.0,2,0.0,0.0,0.0,0.0,0.0,1075.72,1063.4,1153.0,1019.2
2026-08-06,189,NICFC,21.5,9.1,9.14,9.1,9.13,9.13,9.12,2100,9.12,19156.0,15,0.01,0.04,0.11,0.44,0.09,9.35,9.2,10.4,8.37
2026-08-06,190,NICGF2,19.79,8.85,9.18,8.85,9.18,9.18,9.11,2300,9.05,20943.0,9,0.13,0.33,1.44,3.73,0.81,9.41,9.24,10.13,8.33
2026-08-06,191,NICL,34.1,505.0,514.9,499.0,500.0,500.0,500.05,18496,503.0,9248838.2,54,-3.0,15.9,-0.6,3.19,-0.01,510.9,511.72,634.0,475.0
2026-08-06,192,NICLBSL,19.34,546.1,551.0,546.1,549.0,549.0,549.96,999,548.0,549408.3,29,1.0,4.9,0.18,0.9,-0.17,575.66,571.27,717.0,527.0
2026-08-06,193,NICSF,22.5,8.6,8.6,8.56,8.56,8.56,8.59,500,8.8,4296.0,4,-0.24,0.04,-2.73,0.47,-0.37,9.26,9.06,9.99,8.04
2026-08-06,194,NIFRA,21.46,245.0,249.0,245.0,246.0,246.0,246.02,26888,247.0,6615093.2,309,-1.0,4.0,-0.4,1.63,-0.01,262.63,264.62,299.0,233.9
2026-08-06,195,NIFRAGED,34.35,1028.0,1028.0,1028.0,1028.0,1028.0,1028.0,30,1028.0,30840.0,1,0.0,0.0,0.0,0.0,0.0,1042.93,1027.94,1200.2,948.0
2026-08-06,196,NIL,29.05,615.0,619.0,605.5,615.1,615.1,614.9,5407,617.1,3324770.3,37,-2.0,13.5,-0.32,2.23,0.03,628.29,623.46,728.0,562.0
2026-08-06,197,NIMB,23.15,206.3,206.3,195.0,195.9,195.9,195.69,119875,196.5,23458821.4,323,-0.6,11.3,-0.31,5.79,0.11,200.02,198.01,232.5,184.0
2026-08-06,198,NIMBPO,33.59,144.0,147.9,142.0,142.0,142.0,146.47,27298,143.6,3998431.6,33,-1.6,5.9,-1.11,4.15,-3.15,152.83,154.79,174.9,139.0
2026-08-06,199,NLG,22.33,575.0,585.5,565.0,567.0,567.0,568.07,8218,585.0,4668385.1,54,-18.0,20.5,-3.08,3.63,-0.19,624.08,646.74,872.0,546.0
2026-08-06,200,NLIC,26.31,747.0,750.0,740.0,743.8,743.8,742.69,31459,748.7,23364241.1,321,-4.9,10.0,-0.65,1.35,0.15,769.06,779.4,872.0,702.0
