Date,#,Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover,Page
2026-05-22,1,ACLBSL,949.0,0.18,975.7,929.0,947.3,1325,1256202.0,1
2026-05-22,2,ADBL,313.0,-0.16,314.9,310.0,314.9,11713,3650688.0,1
2026-05-22,3,AHL,515.0,1.9,524.0,492.0,495.0,8464,4294215.0,1
2026-05-22,4,AHPC,284.0,1.43,284.0,279.0,279.0,85453,24114767.5,1
2026-05-22,5,AKJCL,402.0,7.2,402.0,370.0,370.0,1123916,439586175.6,1
2026-05-22,6,AKPL,274.5,1.52,274.9,270.0,271.0,80891,22109509.3,1
2026-05-22,7,ALBSL,1115.0,0.72,1162.3,1085.0,1162.3,3745,4119929.8,1
2026-05-22,8,ALICL,452.3,-0.53,459.9,449.0,459.9,33390,15057992.2,1
2026-05-22,9,ANLB,5901.0,-0.62,5946.0,5844.0,5938.0,168,988298.0,1
2026-05-22,10,API,357.2,0.79,358.0,351.0,351.1,450813,160158689.6,1
2026-05-22,11,AVYAN,1139.0,0.1,1194.0,1124.0,1185.0,4301,4909354.0,1
2026-05-22,12,BANDIPUR,875.9,1.85,889.0,853.0,860.0,93868,82005831.2,1
2026-05-22,13,BARUN,351.1,0.89,352.0,345.3,345.3,31059,10886597.9,1
2026-05-22,14,BBC,4800.0,-0.41,4833.0,4750.2,4833.0,135,646260.0,1
2026-05-22,15,BEDC,376.9,1.92,377.3,366.9,374.0,42044,15725238.1,1
2026-05-22,16,BFC,458.0,0.02,461.0,454.1,461.0,2998,1372731.0,1
2026-05-22,17,BGWT,661.0,1.69,663.0,651.0,651.0,752,496075.2,1
2026-05-22,18,BHCL,566.0,6.39,572.0,528.0,532.0,106297,59534270.1,1
2026-05-22,19,BHDC,463.6,0.02,466.5,457.0,457.0,9123,4238474.2,1
2026-05-22,20,BHL,226.0,1.35,234.1,220.0,234.1,110169,24734812.8,1
2026-05-22,21,BHPL,529.8,0.02,556.0,522.3,556.0,3080,1627104.5,1
2026-05-22,22,BJHL,953.0,3.03,974.9,912.5,925.0,24258,23051471.6,1
2026-05-22,23,BNHC,333.1,1.43,333.4,325.0,325.0,5585,1849207.4,1
2026-05-22,24,BPCL,699.0,-0.4,705.0,695.1,695.1,44960,31479072.6,1
2026-05-22,25,BUNGAL,814.0,9.12,814.0,680.0,708.7,145025,104640151.3,1
